,Concept_ID,lez,ta
631,plötzlich::ADV,садлагьана,தடீரென்று
632,sofort::ADV,гьасятда,உடனடியாக
633,später::ADV,гуьгъуьнлай,பிறகு
634,jetzt::ADV,гила,இப்பொழது
635,heute::ADV,къе,இன்று
636,morgen::ADV,пака,நாளைக்கு
637,bald::ADV,мукьва,சீக்கிரம்
638,bald::ADV,мукьвара,சீக்கிரம்
639,dann::ADV,ахпа,அப்பொழுது
640,gestern::ADV,накь,நேற்று
641,einst::ADV,садра,ஒரே முறை
642,damals::ADV,а чӏавуз,அப்பொழுது
643,danach::ADV,ахпа,பிற்பாடு
644,vorher::ADV,вилик,முன்பாக
645,zuerst::ADV,сифте,முதலில்
646,einmal::ADV,садра,ஒரே முறை
647,manchmal::ADV,гагь-гагь,சில நேரங்களில்
648,oft::ADV,гзаф вахтара,அடிக்கடி
649,immer::ADV,гьамиша,எப்பொழுதும்
650,niemals::ADV,са чӏавузни,ஒருபோதும் இல்லை
651,niemals::ADV,са вахтундани,ஒருபோதும் இல்லை
652,hier::ADV,ина,இங்கே
653,hierhin::ADV,иниз,இவ்விடத்திற்கு
654,von hier::ADV,инай,இனி
655,dort::ADV,ана,அங்கே
656,dorthin::ADV,аниз,அவ்விடத்திற்கு
657,geradeaus::ADV,дуьз,முன்னாலிருக்கும்
658,vorwärts::ADV,вилик,முன்புறமாக
659,vorwärts::ADV,виликди,முன்புறமாக
660,rückwärts::ADV,кьулухъ,பின்னோக்கி
661,unten::ADV,агъада,கீழாக
662,hinab::ADV,агъуз,கீழ் நோக்கி
663,oben::ADV,винел,மேலே
664,hinauf::ADV,виниз,மேலே
665,überall::ADV,вирина,எல்லா இடத்திலும்
666,nicht::ADV,ваъ,இல்லை
