,Concept_ID,udm,cs
471,Kleidung::N,дӥсь,šatstvo
472,Hemd::N,дэрем,košile
473,Kragen::N,сирес,límec
474,Ärmel::N,саес,rukáv
475,Hose::N,брюки,kalhoty
476,Hose::N,штань,kalhoty
477,Gürtel::N,кускерттон,pás
478,Gürtel::N,кускерттон,opasek
479,Mütze::N,ызьы,čepice
480,Schuh::N,ботинка,bota
481,Stiefel::N,сапег,holínka
482,Ring::N,зундэс,prsten
483,Band::N,лента,pásek
484,Kamm::N,сын,hřeben
485,Spiegel::N,синучкон,zrcadlo
486,Riemen::N,е,řemen
487,Schnur::N,гозы,šňůra
488,Leine::N,думет,vodítko
489,Decke::N,шобрет,pokrývka
490,Decke::N,шобрет,přikrývka
491,Kissen::N,миндэр,polštář
492,Tuch::N,кышет,šátek
493,Handtuch::N,ӵушкон,ručník
494,Kraft::N,кать,síla
495,Kraft::N,ӟигар,síla
496,Stärke::N,юнлык,síla
497,Gesundheit::N,тазалык,zdraví
498,Krankheit::N,висён,nemoc
499,Krankheit::N,висён,choroba
500,Schmerz::N,висён,bolest
501,Wunde::N,яра,rána
502,Fieber::N,кезег,horečka
503,Arznei::N,эмъюм,lék
504,Brücke::N,выж,most
505,Brunnen::N,колдэч,studna
506,Weide::N,возь,pastva
507,Weide::N,возь,pastvina
508,Pfad::N,сюрес,pěšina
509,Weg::N,сюрес,cesta
510,Straße::N,сюрес,silnice
511,Dorf::N,гурт,vesnice
512,Stadt::N,кар,město
513,Stadt::N,город,město
514,Brief::N,гожтэт,dopis
515,Buch::N,книга,kniha
516,Buchstabe::N,буква,písmeno
517,Zeitung::N,газет,noviny
518,Leben::N,улон,život
519,Tod::N,кулон,smrt
520,Grab::N,шайгу,hrob
521,Kirche::N,черк,kostel
522,Sünde::N,сьӧлык,hřích
523,Gott::N,ӥнмар,bůh
524,Arbeiter::N,рабочий,dělník
525,Arbeiter::N,рабочий,pracovník
526,Chef::N,начальник,šéf
527,Chef::N,начальник,vedoucí
528,Meister::N,кибашлы,mistr
529,Arzt::N,врач,lékař
530,Lehrer::N,дышетӥсь,učitel
531,Geld::N,уксё,peníze
532,Geld::N,коньдон,peníze
533,Geschäft::N,уж,obchod
534,Laden::N,магазин,krám
535,Preis::N,дун,cena
536,Ware::N,вуз,zboží
537,Nutzen::N,пайда,užitek
538,Reichtum::N,узырлык,bohatství
539,Welt::N,дунне,svět
540,Land::N,шаер,země
541,Staat::N,кун,stát
542,König::N,эксэй,král
543,Macht::N,власть,moc
544,Macht::N,власть,mocnost
545,Grenze::N,кунгож,hranice
546,Krieg::N,ож,válka
547,Feind::N,тушмон,nepřítel
548,Gewalt::N,эриктэман,násilí
549,Kampf::N,нюръяськон,boj
550,Bogen[Waffe]::N,пукыӵ,luk
551,Pfeil::N,пукыӵ вень,šíp
552,Gewehr::N,пыӵал,puška
553,Gewehr::N,пыӵал,ručnice
554,Fehler::N,янгыш,chyba
555,Lüge::N,пӧян,lež
556,Lüge::N,алдан,lež
557,Lüge::N,ӧрекчан,lež
558,Schaden::N,изъян,škoda
559,Unglück::N,куректон,neštěstí
560,Unglück::N,шудтэме усён,neštěstí
561,Schuld::N,янгыш,vina
562,Alter::N,арлыд,věk
563,Schluss::N,пум,konec
564,Zeit::N,дыр,čas
565,Tag::N,нунал,den
566,Morgen::N,ӵукна,ráno
567,Morgen::N,ӵукна,jitro
568,Mittag::N,лымшор,poledne
569,Abend::N,ӝыт,večer
570,Abend::N,акшан,večer
571,Nacht::N,уй,noc
572,Woche::N,арня,týden
573,Monat::N,толэзь,měsíc
574,Jahr::N,ар,rok
575,Frühling::N,тулыс,jaro
576,Sommer::N,гужем,léto
577,Herbst::N,сӥзьыл,podzim
578,Winter::N,тол,zima
579,Januar::N,выльартолэзь,leden
580,Februar::N,тулыспал,únor
581,März::N,южтолэзь,březen
582,April::N,оштолэзь,duben
583,Mai::N,куартолэзь,květen
584,Juni::N,вожотолэзь,červen
585,Juli::N,пӧсьтолэзь,červenec
586,August::N,гудырикошкон,srpen
587,September::N,куарусён,září
588,Oktober::N,выльӝуктолэзь,říjen
589,November::N,шуркынмон,listopad
590,Dezember::N,толсур,prosinec
591,Montag::N,вордӥськон,pondělí
592,Montag::N,вордӥськон,pondělek
593,Dienstag::N,вторник,úterý
594,Mittwoch::N,вирнунал,středa
595,Donnerstag::N,покчиарня,čtvrtek
596,Freitag::N,удмуртарня,pátek
597,Samstag::N,кӧснунал,sobota
598,Sonntag::N,арня,neděle
599,groß::A,бадӟым,velký
600,klein::A,пичи,malý
601,lang::A,кузь,dlouhý
602,kurz::A,вакчи,krátký
603,breit::A,паськыт,široký
604,schmal::A,сюлэг,úzký
605,dicht::A,ӵем,hustý
606,dick[Gegenstand]::A,зӧк,tlustý
607,dünn::A,векчи,tenký
608,fein::A,векчи,jemný
609,fest::A,юн,pevný
610,fest::A,чурыт,pevný
611,flach::A,ӵошкыт,plochý
612,flach::A,ӵошкыт,placatý
613,glatt::A,гылыт,hladký
614,glatt::A,вольыт,hladký
615,hart::A,чурыт,tvrdý
616,weich::A,небыт,měkký
617,rund::A,котырес,kulatý
618,rund::A,котырес,okrouhlý
619,spitz::A,йылсо,špičatý
620,scharf::A,лэчыт,ostrý
621,stumpf::A,ныж,tupý
