,Concept_ID,lbe,ce
646,reich::A,авадансса,хьоле
647,bekannt::A,дусъсса,девзаш долу
648,berühmt::A,машгьурсса,цӏеяхана
649,fremd::A,чил,нехан
650,verschieden::A,личӏи-личӏисса,тайп-тайпанара
651,nah::A,гъансса,гергара
652,fern::A,архсса,гена
653,fern::A,архсса,генара
654,linker::A,кияхсса,аьрру
655,linker::A,кюччахсса,аьрру
656,rechter::A,урчӏахсса,аьтту
657,anderer::A,цамур,кхин
658,erster::A,цалчинмур,хьалхара
659,erster::A,цалчиннсса,хьалхара
660,zweiter::A,кӏилчиимур,шолгIа
661,dritter::A,шамулчинмур,кхоалгӏа
662,letzter::A,махъва-махъмур,тӏаьххьара
663,allein::ADV,ялгъузну,цхьаъ
664,zusammen::ADV,цачӏу,цхьана
665,zusammen::ADV,архӏал,цхьана
666,lange::ADV,батӏи къабуклай,дукха
667,lange::ADV,хъунмасса хӏаллай,дукха
668,plötzlich::ADV,цакуну,цIеххьана
669,sofort::ADV,мугьлат бакъа,цу сохьтта
670,später::ADV,махъ,тӏаьхьо
671,jetzt::ADV,утти,хӏинца
672,jetzt::ADV,цӏана,хӏинца
673,heute::ADV,хӏакьину,тахана
674,morgen::ADV,гьуит,кхана
675,morgen::ADV,гьунттий,кхана
676,dann::ADV,яла,тӏаккха
677,gestern::ADV,лахьхьу,селхана
678,damals::ADV,та чӏумал,хӏетахьь
679,danach::ADV,яла,тӏаккха
680,vorher::ADV,хьхьнчӏ,хьалхa
681,vorher::ADV,хьхьичӏва,хьалхa
682,zuerst::ADV,бакӏрай,хьалха
683,zuerst::ADV,цӏу бутӏуй,хьалха
684,einmal::ADV,цал,цкъа
685,manchmal::ADV,ваксса-таксса,цкъаццкъа
686,oft::ADV,чӏявуну,кест-кеста
687,immer::ADV,мудан,даим
688,immer::ADV,даиман,даим
689,niemals::ADV,тачӏав,цкъа а
690,hier::ADV,шикку,кхузахь
691,hierhin::ADV,шиккун,кхуза
692,von hier::ADV,шичча,кхузара
693,dort::ADV,гикку,цигахь
694,dorthin::ADV,тиккун,цига
695,geradeaus::ADV,тӏайланм,нийса дӏа
696,vorwärts::ADV,хьхьичӏунмай,хьалха
697,rückwärts::ADV,махъа-хьхьичӏунмай,юха
698,zurück::ADV,махъунмай,юха
699,unten::ADV,лув,лахахь
700,hinab::ADV,бакӏ-ялавай,охьа
701,hinab::ADV,бакӏъялавай,охьа
702,oben::ADV,ялув,лакхахь
703,hinauf::ADV,лавай,хьала
704,überall::ADV,гьариий,массанхьа
705,überall::ADV,хьу-хьуний,массанхьа
706,überall::ADV,гьарца кӏанай,массанхьа
707,nicht::ADV,къа-,ца
708,ein wenig::ADV,чанни,кӏеззиг
709,ein wenig::ADV,ца чансса,кӏеззиг
710,kaum::ADV,дахьа,халла
711,sehr::ADV,оьну,вуно
712,sehr::ADV,гужну,вуно
713,sehr::ADV,хъинну,вуно
714,so::ADV,укукн,
715,noch::ADV,гьала,кхин
716,noch::ADV,уттигу,кхин
717,noch::ADV,цакьинва,кхин
718,noch::ADV,ттигу-шилагу,кхин
