,Concept_ID,vep,ku
535,Monat::N,ku,meh
536,Jahr::N,voz',sal
537,Frühling::N,keväz',bihar
538,Sommer::N,keza,havîn
539,Herbst::N,sügüz',payîz
540,Winter::N,tal'v,zistan
541,Januar::N,viluku,çile
542,Februar::N,uhoku,sibat
543,März::N,keväz'ku,adar
544,April::N,sulaku,nîsan
545,Mai::N,semendku,gûlan
546,Juni::N,kezaku,hezîran
547,Juli::N,heinku,tîmeh
548,August::N,eloku,tebax
549,September::N,sügüz'ku,îlon
550,Oktober::N,reduku,çotmeh
551,November::N,kül'mku,mijdar
552,Dezember::N,tal'vku,kanûn
553,Montag::N,ezmärg,duşemb
554,Dienstag::N,tožnarg,sêşem
555,Mittwoch::N,koumanz'päiv,çarşemb
556,Donnerstag::N,nellänz'päiv,pêşemb
557,Freitag::N,pätnič,în
558,Freitag::N,videnz'päiv,în
559,Samstag::N,sobat,şemî
560,Sonntag::N,pühäpäiv,yekşemb
561,groß::A,sur',mezin
562,groß::A,järed,mezin
563,klein::A,pen',çûçik
564,klein::A,pičuine,çûçik
565,lang::A,pit'k,dirêj
566,kurz::A,lühüd,kin
567,breit::A,leved,fireh
568,schmal::A,kaid,tenik
569,dicht::A,tihed,gir
570,dick[Gegenstand]::A,paks,şîşman
571,dünn::A,hoik,zirav
572,fein::A,hen,tenik
573,fest::A,luja,saxlem
574,fest::A,ninev,saxlem
575,flach::A,lapak,pahn
576,glatt::A,siled,dûz
577,glatt::A,siled,şayîk
578,hart::A,kova,hişk
579,weich::A,pehmed,nerm
580,rund::A,kehker,gilover
581,spitz::A,nügu,pîj
582,spitz::A,terav,pîj
583,scharf::A,terav,tûj
584,stumpf::A,tül'c,ne tûj
585,schwer::A,jüged,giran
586,schön::A,čoma,xweş
587,schön::A,čoma,xweşik
588,heiß::A,räk,kelandî
589,warm::A,läm',germ
590,kalt::A,vilu,sar
591,kühl::A,raibak,jemîrî
592,kühl::A,viluhk,jemîrî
593,frisch::A,lahed,ter
594,feucht::A,neps,şil
595,feucht::A,toreh,şil
596,nass::A,märg,şilek
597,trocken::A,kuiv,zuwa
598,voll::A,täuz',tijî
599,leer::A,joudai,vala
600,offen::A,avoin,vekirî
601,offen::A,avol'jaine,vekirî
602,geschlossen::A,saubaline,asê
603,sauber::A,puhtaz,pakij
604,schmutzig::A,redukaz,lewitî
605,roh::A,rohk,xav
606,roh::A,toreh,xav
607,reif::A,küps,gihaştî
608,lecker::A,magukaz,xweş
609,süß::A,maged,şîrîn
610,bitter::A,karged,tahl
611,sauer::A,muiged,tirş
612,hell::A,kirkas,ronî
613,hell::A,valgei,ronî
614,dunkel::A,pimed,tarî
615,schwarz::A,must,reş
616,weiß::A,vauged,sipî
617,rot::A,rusked,sor
618,gelb::A,pakuine,zer
619,blau::A,sinine,şîn
620,grün::A,vihand,şîn
621,grau::A,hahk,gewr
622,bunt::A,kirjav,rengîn
623,billig::A,odav,erzan
624,teuer::A,kalliž,biha
625,wertvoll::A,arvokas,hêja
626,wertvoll::A,arvokas,giranbiha
627,blind::A,soged,kor
628,taub::A,kurdiž,kerr
629,kräftig::A,vägev,gir
630,kräftig::A,vägev,xurt
631,stark::A,vahv,xurt
632,stark::A,vägekaz,xurt
633,schwach::A,väll',kesad
634,fett::A,razvakaz,qelew
635,schlank::A,kapos,zirav
636,hübsch::A,čoma,xweşik
637,böse::A,äred,xerab
638,böse::A,äred,aciz
639,böse::A,käred,xerab
640,böse::A,käred,aciz
641,dumm::A,el'getoi,gêj
642,faul::A,lašk,têmbêl
643,fleißig::A,radonnavedii,jêhatî
644,geizig::A,ažlak,destgirtî
645,klug::A,melev,baqil
646,klug::A,melekaz,baqil
647,geschickt::A,mahtokaz,zîrek
648,geschickt::A,mahtokaz,ziring
649,lieb::A,izo,delal
650,lieb::A,sula,delal
651,lustig::A,ilokaz,kêfxweş
652,sanft::A,laskav,nazenîn
653,hungrig::A,näl'ghine,birçî
654,krank::A,läžui,nexweş
655,nackt::A,alastoi,rût
656,nackt::A,alastoi,tazî
657,traurig::A,opalahine,xemgîn
658,lebendig::A,eläb,bisaxî
659,gut::A,hüvä,baş
660,schlecht::A,huba,xerab
661,richtig::A,oiged,rast
662,richtig::A,oiged,saxlem
663,schlimm::A,paha,nebaş
664,wahr::A,todesine,rast
665,alt::A,vanh,pîr
666,alt::A,vanh,kevn
667,neu::A,uz',nû
668,ehemalig::A,edeline,kevnar
669,ehemalig::A,edeline,peşidar
670,alt[Lebewesen]::A,ravaz,pîr
671,jung::A,nor',xort
672,arm::A,gol'l',feqîr
673,arm::A,gol'l',desteng
674,reich::A,elokaz,dewlemend
675,bekannt::A,tutab,naskirî
676,berühmt::A,tetab,navdar
677,fremd::A,veraz,xerîb
678,verschieden::A,erazvuitte,çîhê
679,nah::A,läheline,nêzîk
680,fern::A,edahaine,dûr
681,linker::A,hura,çepê
682,rechter::A,oiged,rastê
683,anderer::A,toine,yê din
684,erster::A,ezmäine,yekemîn
685,zweiter::A,toine,duda
686,dritter::A,koumanz',sisêya
687,letzter::A,jäl'gmäine,paşîn
688,allein::ADV,üksnäze,tenê
689,auf einmal::ADV,ühten aigan,jar kê
690,zusammen::ADV,ühtes,tev
691,zusammen::ADV,ühtes,bi hev re
692,lange::ADV,hätken,dirêj
693,plötzlich::ADV,äkkid,ji nişkave
694,sofort::ADV,kerdalaz,yekser
695,später::ADV,möhemba,paşiyê
696,jetzt::ADV,nügüd',nuha
697,heute::ADV,tämbei,îro
698,morgen::ADV,homen,sibeh
699,bald::ADV,pigai,nêzîk
700,dann::ADV,sid',paşê
701,gestern::ADV,eglai,do
702,einst::ADV,ende,jar ke
703,einst::ADV,kerdan,jar ke
704,damals::ADV,siloi,hîngî
705,danach::ADV,sid',piştra
706,vorher::ADV,ende,pîşî
707,zuerst::ADV,ezmäi,bere
708,einmal::ADV,kerdan,çarik
709,manchmal::ADV,erašti,çarna
710,oft::ADV,paksus,gelek çaran
711,immer::ADV,kaiken,daîm
712,niemals::ADV,ei nikonz,tu çar
713,hier::ADV,täs,li vir
714,hier::ADV,tägä,li vir
715,hierhin::ADV,tänna,vir
716,von hier::ADV,täspäi,ji vir
717,von hier::ADV,sid'päi,ji vir
718,dort::ADV,sigä,li wê derê
719,dorthin::ADV,sinna,wêda
720,dorthin::ADV,nakkale,wêda
721,geradeaus::ADV,kohtha,rastê rast
722,vorwärts::ADV,edehe,ber bi pêş
723,rückwärts::ADV,sel'gin,paşpê
724,zurück::ADV,tagaze,paşdo
725,zurück::ADV,tagaze,paşvê
726,unten::ADV,alahan,jêrî
727,hinab::ADV,alaz,berjêr
728,hinab::ADV,alahaks,berjêr
729,oben::ADV,ülähän,banî
730,hinauf::ADV,ülez,banî
