,Concept_ID,mrj,fi
548,Laden::N,лапка,kauppa
549,Laden::N,магазин,puoti
550,Laden::N,магазин,kauppa
551,Preis::N,ӓк,hinta
552,Ware::N,товар,tavara
553,Nutzen::N,пайда,hyöty
554,Reichtum::N,перке,rikkaus
555,Welt::N,сӓндӓлӹк,maailma
556,Welt::N,свет,maailma
557,Land::N,сӓндӓлӹк,maa
558,Staat::N,кугижӓншӹ,valtio
559,König::N,король,kuningas
560,Macht::N,власть,mahti
561,Grenze::N,пӹсмӓн,raja
562,Krieg::N,вырсы,sota
563,Feind::N,тышман,vihollinen
564,Gewalt::N,ви,väkivalta
565,Kampf::N,кредӓлмӓш,taistelu
566,Bogen[Waffe]::N,янгеж,jousi
567,Pfeil::N,пикш,nuoli
568,Gewehr::N,пичӓл,kivääri
569,Fehler::N,самынь,vika
570,Fehler::N,самынь,virhe
571,Lüge::N,шая,valhe
572,Schaden::N,вре́дӓ,vaurio
573,Schaden::N,вре́дӓ,vahinko
574,Unglück::N,пёда,vahinko
575,Unglück::N,пёда,onnettomuus
576,Unglück::N,тымаша,vahinko
577,Unglück::N,тымаша,onnettomuus
578,Schuld::N,вуйнамат,syy
579,Alter::N,иӓш,ikä
580,Alter::N,игечӹ,ikä
581,Schluss::N,пӹтӓртӹш,loppu
582,Zeit::N,веремӓ,aika
583,Tag::N,кечӹ,päivä
584,Morgen::N,ир,aamu
585,Morgen::N,ир,huomen
586,Morgen::N,ирок,aamu
587,Morgen::N,ирок,huomen
588,Mittag::N,кечӹвӓл,keskipäivä
589,Abend::N,вады,ilta
590,Nacht::N,йыд,yö
591,Woche::N,ӓрня,viikko
592,Monat::N,тӹ́лзӹ,kuukausi
593,Jahr::N,год,vuosi
594,Frühling::N,шошым,kevät
595,Sommer::N,кӓнгӹж,kesä
596,Herbst::N,шӹжӹ,syksy
597,Winter::N,тел,talvi
598,Winter::N,телӹ,talvi
599,Januar::N,январ,tammikuu
600,Januar::N,январь,tammikuu
601,Februar::N,февраль,helmikuu
602,März::N,март,maaliskuu
603,April::N,апрель,huhtikuu
604,Mai::N,май,toukokuu
605,Juni::N,июнь,kesäkuu
606,Juli::N,июль,heinäkuu
607,August::N,август,elokuu
608,September::N,сентябрь,syyskuu
609,Oktober::N,октябрь,lokakuu
610,November::N,ноябрь,marraskuu
611,Dezember::N,декавыр,joulukuu
612,Montag::N,шачмы,maanantai
613,Dienstag::N,кышкыжмы,tiistai
614,Mittwoch::N,вӹрчегӹ,keskiviikko
615,Donnerstag::N,изӓрня,torstai
616,Freitag::N,когарня,perjantai
617,Samstag::N,кукшыгечӹ,lauantai
618,Sonntag::N,рушӓрня,sunnuntai
619,groß::A,кого,iso
620,groß::A,кого,suuri
621,klein::A,изи,pieni
622,lang::A,кужы,pitkä
623,kurz::A,кӹтӹк,lyhyt
624,breit::A,кымда,leveä
625,schmal::A,ӓнгӹсӹр,kapea
626,dicht::A,шӹре,taaja
627,dick[Gegenstand]::A,кӹжгӹ,paksu
628,dünn::A,вӹцкӹж,ohut
629,fein::A,пыльга,hieno
630,fest::A,цаткыды,luja
631,flach::A,тӓлякӓ,litteä
632,flach::A,тӓлякӓ,tasainen
633,glatt::A,ягылгы,sileä
634,glatt::A,ягылгы,siloinen
635,hart::A,пингӹдӹ,kova
636,weich::A,пышкыды,pehmeä
637,rund::A,тӹртӹш,pyöreä
638,spitz::A,кашар,terävä
639,scharf::A,кашар,terävä
640,stumpf::A,нӹшкӹ,tylsä
641,schwer::A,нелӹ,raskas
642,schwer::A,нелӹ,painava
643,schön::A,цевер,kaunis
644,schön::A,олмыдшы,kaunis
645,heiß::A,шокшы,kuuma
646,warm::A,шокшы,lämmin
647,kalt::A,ӱштӹ,kylmä
648,kalt::A,ӱштӹ,viluinen
649,kühl::A,юалгы,viileä
650,kühl::A,йонгата,viileä
651,frisch::A,йонгата,tuore
652,feucht::A,ӹлӹкшӹ,kostea
653,feucht::A,вӹдӹжгӹ,kostea
654,nass::A,начкы,märkä
655,trocken::A,кукшы,kuiva
656,voll::A,темшӹ,täysi
657,voll::A,темыман,täysi
658,leer::A,йӓрӓ,tyhjä
659,offen::A,виш,avonainen
660,geschlossen::A,чӱчмӹ,suljettu
661,geschlossen::A,тӹкӹлӓлтшӹ,suljettu
662,sauber::A,ире,puhdas
663,schmutzig::A,шоран,likainen
664,schmutzig::A,лявӹрӓн,likainen
665,schmutzig::A,шорангшы,likainen
666,roh::A,пеле кӱшӹ,raaka
667,reif::A,кӱшӹ,kypsä
668,lecker::A,тотан,herkullinen
669,süß::A,мӱӓн,makea
670,bitter::A,качы,karvas
671,bitter::A,качы,kitkerä
672,sauer::A,шапы,hapan
673,hell::A,соты,kirkas
674,hell::A,соты,valoisa
675,hell::A,валгыды,kirkas
676,hell::A,валгыды,valoisa
677,dunkel::A,пӹц,pimeä
678,dunkel::A,пӹцкемӹш,pimeä
679,schwarz::A,шим,musta
680,weiß::A,ош,valkea
681,weiß::A,ошы,valkea
682,rot::A,якшаргы,punainen
683,gelb::A,сар,keltainen
684,gelb::A,сары,keltainen
685,blau::A,симсӹ,sininen
686,grün::A,ыжар,vihreä
687,grau::A,луды,harmaa
688,bunt::A,ала,kirjava
689,billig::A,шулдаш,halpa
690,billig::A,шулдаш,huokea
691,teuer::A,шергӹ,kallis
692,teuer::A,шергӓкӓн,kallis
693,wertvoll::A,ӓкӓн,arvokas
694,blind::A,слöпöй,sokea
695,blind::A,сльöпöй,sokea
696,taub::A,тӱтӱк,kuuro
697,kräftig::A,виӓн,väkevä
698,kräftig::A,виӓн,voimakas
699,stark::A,виӓн,vahva
700,schwach::A,шава,heikko
701,schwach::A,лӹпкӓ,heikko
702,schwach::A,слабка,heikko
703,fett::A,таза,lihava
704,schlank::A,яштака,hoikka
705,schlank::A,яштака,solakka
706,hübsch::A,сӹлнӹ,soma
707,hübsch::A,сӹлнӹ,sievä
708,hübsch::A,олмыдшы,soma
709,hübsch::A,олмыдшы,sievä
710,böse::A,шӹдӓн,paha
711,böse::A,шӹдӓн,häijy
712,dumm::A,окмак,tyhmä
713,dumm::A,окмак,typerä
714,faul::A,ялахай,laiska
715,fleißig::A,пӓшам яратышы,ahkera
716,geizig::A,шык,saita
717,klug::A,ышан,älykäs
718,geschickt::A,мастар,taitava
719,lieb::A,тыри,rakas
720,lustig::A,мындыр,hauska
721,lustig::A,мындыр,iloinen
722,lustig::A,сусу,hauska
723,lustig::A,сусу,iloinen
724,sanft::A,йӹвӹжӓ,lauha
725,sanft::A,йӹвӹжӓ,lempeä
726,hungrig::A,шужышы,nälkäinen
727,krank::A,церлӹ,sairas
728,krank::A,хворой,sairas
729,nackt::A,цӓрӓ,alaston
730,traurig::A,сы́лыкан,surullinen
731,traurig::A,сы́лыкан,murheellinen
732,traurig::A,кымы́лдымы,surullinen
733,traurig::A,кымы́лдымы,murheellinen
734,lebendig::A,живой,elävä
735,gut::A,яжо,hyvä
736,schlecht::A,уда,paha
737,schlecht::A,уда,huono
738,schlecht::A,худа,paha
739,schlecht::A,худа,huono
740,richtig::A,вургамла,oikea
741,schlimm::A,йӹрнык,paha
742,wahr::A,настоящий,tosi
743,wahr::A,настояшый,tosi
744,alt::A,шонгы,vanha
745,neu::A,у,uusi
746,ehemalig::A,тошты,entinen
747,ehemalig::A,тошты,muinainen
748,alt[Lebewesen]::A,ӹлалшӹ,vanha
749,jung::A,нöргӹ,nuori
750,jung::A,молода,nuori
