,Concept_ID,pl,hy
715,bekannt::A,znany,ծանոթ
716,berühmt::A,słynny,հայտնի
717,berühmt::A,słynny,հռչակավոր
718,fremd::A,obcy,օտար
719,fremd::A,cudzy,օտար
720,verschieden::A,różny,տարբեր
721,nah::A,bliski,մոտ
722,nah::A,bliski,մերձ
723,fern::A,daleki,հեռավոր
724,linker::A,lewy,ձախ
725,rechter::A,prawy,աջ
726,anderer::A,inny,այլ
727,anderer::A,inny,ուրիշ
728,erster::A,pierwszy,առաջին
729,zweiter::A,drugi,երկրորդ
730,dritter::A,trzeci,երրորդ
731,letzter::A,ostatni,վերջին
732,allein::ADV,sam,միայնակ
733,auf einmal::ADV,naraz,միասնաբար
734,zusammen::ADV,razem,միասին
735,zusammen::ADV,razem,իրար հետ
736,lange::ADV,długo,երկար ժամանակ
737,plötzlich::ADV,nagle,հանկարծ
738,sofort::ADV,natychmiast,իսկույն
739,später::ADV,później,ավելի ուշ
740,später::ADV,później,հետո
741,jetzt::ADV,teraz,այժմ
742,jetzt::ADV,obecnie,այժմ
743,heute::ADV,dziś,այսօր
744,heute::ADV,dzisiaj,այսօր
745,morgen::ADV,jutro,վաղը
746,bald::ADV,wkrótce,շուտով
747,dann::ADV,potem,ապա
748,dann::ADV,potem,հետո
749,gestern::ADV,wczoraj,երեկ
750,einst::ADV,kiedyś,հին ատեն
751,einst::ADV,niegdyś,հին ատեն
752,damals::ADV,wtedy,ատէնին
