,Concept_ID,is,ml
533,August::N,ágúst,ആഗസ്റ്റ്
534,September::N,september,സെപ്തംബർ
535,Oktober::N,október,ഒക്ടോബർ
536,November::N,nóvember,നവംബർ
537,Dezember::N,desember,ഡിസംബർ
538,Montag::N,mánudagur,തിങ്കളാഴ്ച
539,Dienstag::N,þriðjudagur,ചൊവ്വ
540,Mittwoch::N,miðvikudagur,ബുധനാഴ്ച
541,Donnerstag::N,fimmtudagur,വ്യാഴാഴ്ച
542,Freitag::N,föstudagur,വെള്ളിയാഴ്ച
543,Samstag::N,laugardagur,ശനിയാഴ്ച
544,Sonntag::N,sunnudagur,ഞായറാഴ്ച
545,groß::A,stór,വലിയ
546,klein::A,lítill,ചെറിയ
547,lang::A,langur,നീണ്ട
548,kurz::A,stuttur,ഹ്രസ്വമായ
549,breit::A,breiður,വിശാലമായ
550,schmal::A,mjór,ഇടുങ്ങിയ
551,dicht::A,þéttur,നിബിഡമായ
552,dick[Gegenstand]::A,þykkur,തടിച്ച
553,dünn::A,þunnur,മെലിഞ്ഞ
554,fein::A,fíngerður,നേർത്ത
555,fest::A,fastur,ഉറപ്പുള്ള
556,flach::A,flatur,പരന്ന
557,glatt::A,háll,മിനുസമുള്ള
558,glatt::A,sléttur,മിനുസമുള്ള
559,hart::A,harður,കട്ടിയുള്ള
560,weich::A,mjúkur,മൃദുവായ
561,rund::A,kringlóttur,വട്ടത്തിലുള്ള
562,spitz::A,oddhvass,മുനയുള്ള
563,scharf::A,beittur,മൂർച്ചയുള്ള
564,stumpf::A,bitlaus,തുറന്നടിക്കുന്ന
565,schwer::A,þungur,ഭാരമുള്ള
566,schön::A,fagur,മനോഹരമായ
567,schön::A,fallegur,മനോഹരമായ
568,heiß::A,heitur,ചൂടുള്ള
569,warm::A,hlýr,ചൂടുള്ള
570,warm::A,heitur,ചൂടുള്ള
571,kalt::A,kaldur,തണുത്ത
572,kühl::A,svalur,തണുപ്പുള്ള
573,frisch::A,frískur,ശുദ്ധമായ
574,feucht::A,rakur,ഈറനുള്ള
575,feucht::A,þvalur,ഈറനുള്ള
576,nass::A,votur,നനഞ്ഞ
577,nass::A,blautur,നനഞ്ഞ
578,trocken::A,þurr,വരണ്ട
579,voll::A,fullur,നിറയെ
580,leer::A,tómur,ഒഴിഞ്ഞ
581,offen::A,opinn,തുറന്ന
582,geschlossen::A,lokaður,അടച്ച
583,sauber::A,þrifinn,വൃത്തിയുള്ള
584,schmutzig::A,óhreinn,അഴുക്കുനിറഞ്ഞ
585,schmutzig::A,sóðalegur,അഴുക്കുനിറഞ്ഞ
586,roh::A,hrár,അസംസ്കൃതമായ
587,reif::A,þroskaður,പഴുത്ത
588,lecker::A,ljúffengur,രുചികരമായ
589,süß::A,sætur,മധുരമുള്ള
590,bitter::A,beiskur,കടുത്ത
591,sauer::A,súr,പുളിപ്പുള്ള
592,hell::A,bjartur,ജ്വലിക്കുന്ന
593,dunkel::A,dimmur,ഇരുണ്ട
594,schwarz::A,svartur,കറുത്ത
595,weiß::A,hvítur,വെളുത്ത
596,rot::A,rauður,ചുവന്ന
597,gelb::A,gulur,മഞ്ഞനിറമായ
598,blau::A,blár,നീലനിറമുള്ള
599,grün::A,grænn,പച്ചനിറമുള്ള
600,grau::A,grár,ചാരനിറത്തിലുള്ള
601,bunt::A,marglitur,വർണ്ണശബളമായ
602,billig::A,ódýr,വിലകുറഞ്ഞ
603,teuer::A,dýr,ചെലവേറിയ
604,wertvoll::A,verðmætur,വിലപിടിപ്പുള്ള
605,blind::A,blindur,അന്ധനായ
606,taub::A,heyrnarlaus,കേൾവിക്കുറവുള്ള
607,kräftig::A,öflugur,ശക്തിയുള്ള
608,stark::A,sterkur,ബലമുള്ള
609,schwach::A,veill,ക്ഷീണിച്ച
610,fett::A,feitur,കൊഴുപ്പുള്ള
611,schlank::A,grannur,മെലിഞ്ഞ
612,schlank::A,spengilegur,മെലിഞ്ഞ
613,hübsch::A,snotur,മനോഹരമായ
614,hübsch::A,laglegur,മനോഹരമായ
615,böse::A,illur,പാപിയായ
616,böse::A,vondur,പാപിയായ
617,dumm::A,heimskur,വിവരംകെട്ട
618,faul::A,latur,അലസനായ
619,fleißig::A,iðinn,അദ്ധ്വാനശീലമുള്ള
620,geizig::A,nískur,പിശുക്കനായ
621,klug::A,hygginn,ബുദ്ധിസാമർഥ്യമുള്ള
