,Concept_ID,is,pl
497,Handtuch::N,þurrka,ręcznik
498,Handtuch::N,handklæði,ręcznik
499,Kraft::N,afl,moc
500,Kraft::N,afl,siła
501,Kraft::N,kraftur,moc
502,Kraft::N,kraftur,siła
503,Stärke::N,styrkur,moc
504,Stärke::N,styrkur,siła
505,Gesundheit::N,heilsa,zdrowie
506,Gesundheit::N,heilbrigði,zdrowie
507,Krankheit::N,sjúkdómur,choroba
508,Schmerz::N,sársauki,ból
509,Wunde::N,sár,rana
510,Fieber::N,hitasótt,gorączka
511,Arznei::N,lyf,lekarstwo
512,Brücke::N,brú,most
513,Brunnen::N,brunnur,studnia
514,Weide::N,hagi,pastwisko
515,Pfad::N,stígur,ścieżka
516,Weg::N,vegur,droga
517,Straße::N,gata,ulica
518,Straße::N,stræti,ulica
519,Dorf::N,þorp,wieś
520,Stadt::N,borg,miasto
521,Brief::N,bréf,list
522,Buch::N,bók,książka
523,Buchstabe::N,bókstafur,litera
524,Zeitung::N,dagblað,gazeta
525,Zeitung::N,dagblað,dziennik
526,Leben::N,líf,życie
527,Tod::N,dauði,śmierć
528,Grab::N,gröf,grób
529,Kirche::N,kirkja,kościół
530,Sünde::N,synd,grzech
531,Gott::N,guð,bóg
532,Arbeiter::N,verkamaður,robotnik
533,Chef::N,yfirmaður,szef
534,Meister::N,meistari,mistrz
535,Meister::N,meistari,majster
536,Arzt::N,læknir,lekarz
537,Lehrer::N,kennari,nauczyciel
538,Geld::N,peningar,pieniądze
539,Geschäft::N,viðskipti,sprawa
540,Geschäft::N,viðskipti,interes
541,Laden::N,búð,sklep
542,Laden::N,verslun,sklep
543,Preis::N,verð,cena
544,Ware::N,vara,towar
545,Nutzen::N,gagn,pożytek
546,Reichtum::N,auður,bogactwo
547,Welt::N,veröld,świat
548,Land::N,land,kraj
549,Staat::N,ríki,państwo
550,König::N,konungur,król
551,Macht::N,vald,władza
552,Grenze::N,landamæri,granica
553,Krieg::N,stríð,wojna
554,Feind::N,fjandmaður,wróg
555,Gewalt::N,ofbeldi,władza
556,Kampf::N,bardagi,bój
557,Kampf::N,bardagi,walka
558,Bogen[Waffe]::N,bogi,łuk
559,Pfeil::N,ör,strzała
560,Gewehr::N,byssa,karabin
561,Fehler::N,villa,błąd
562,Lüge::N,lygi,kłamstwo
563,Schaden::N,skemmd,szkoda
564,Unglück::N,óhamingja,nieszczęście
565,Schuld::N,sök,wina
566,Alter::N,aldur,wiek
567,Schluss::N,lok,koniec
568,Schluss::N,lok,zakończenie
569,Schluss::N,endir,koniec
570,Schluss::N,endir,zakończenie
571,Zeit::N,tími,czas
572,Tag::N,dagur,dzień
573,Morgen::N,morgunn,ranek
574,Morgen::N,morgunn,poranek
575,Mittag::N,hádegi,południe
576,Abend::N,kvöld,wieczór
577,Nacht::N,nótt,noc
578,Woche::N,vika,tydzień
579,Monat::N,mánuður,miesiąc
580,Jahr::N,ár,rok
581,Frühling::N,vor,wiosna
582,Sommer::N,sumar,lato
583,Herbst::N,haust,jesień
584,Winter::N,vetur,zima
585,Januar::N,janúar,styczeń
586,Februar::N,február,luty
