,Concept_ID,be,ca
443,Suppe::N,суп,sopa
444,Honig::N,мёд,mel
445,Milch::N,малако,llet
446,Tee::N,чай,te
447,Tee::N,гарбата,te
448,Leder::N,скура,cuir
449,Wolle::N,воўна,llana
450,Stoff::N,тканіна,tela
451,Nadel::N,іголка,agulla
452,Faden::N,нітка,fil
453,Knopf::N,гузік,botó
454,Knoten::N,вузел,nus
455,Farbe::N,фарба,pintura
456,Kleidung::N,адзенне,roba
457,Kleidung::N,адзенне,vestits
458,Hemd::N,кашуля,camisa
459,Kragen::N,каўнер,coll
460,Ärmel::N,рукаў,màniga
461,Hose::N,штаны,pantalōns
462,Gürtel::N,пояс,cinturó
463,Mütze::N,шапка,gorra
464,Schuh::N,чаравік,sabata
465,Stiefel::N,бот,bota
466,Ring::N,кольца,anell
467,Band::N,стужка,veta
468,Band::N,стужка,cinta
469,Kamm::N,расчоска,pinta
470,Spiegel::N,люстра,mirāll
471,Riemen::N,рэмень,corretja
472,Schnur::N,вяроўка,corda
473,Leine::N,павадок,corretja
474,Decke::N,коўдра,manta
475,Decke::N,коўдра,flassada
476,Kissen::N,падушка,coixí
477,Tuch::N,хустка,mocador
478,Handtuch::N,ручнік,tovallola
479,Kraft::N,сіла,força
480,Stärke::N,моц,vigor
481,Gesundheit::N,здароўе,salut
482,Krankheit::N,хвароба,malaltia
483,Schmerz::N,боль,dolor
484,Wunde::N,рана,ferida
485,Fieber::N,гарачка,febre
486,Fieber::N,ліхаманка,febre
487,Arznei::N,лекі,medicament
488,Brücke::N,мост,pont
489,Brunnen::N,калодзеж,pou
490,Weide::N,паша,pastura
491,Pfad::N,сцежка,senda
492,Pfad::N,сцежка,sender
493,Weg::N,шлях,camí
494,Weg::N,дарога,camí
495,Straße::N,вуліца,carretera
496,Dorf::N,вёска,poble
497,Stadt::N,горад,ciutāt
498,Brief::N,ліст,carta
499,Brief::N,пісьмо,carta
500,Buch::N,кніга,llibre
501,Buchstabe::N,літара,lletra
502,Zeitung::N,газета,diāri
503,Leben::N,жыццё,vida
504,Tod::N,смерць,mort
505,Grab::N,магіла,tomba
506,Kirche::N,касцёл,església
507,Kirche::N,царква,església
508,Sünde::N,грэх,pecat
509,Gott::N,бог,déu
510,Arbeiter::N,рабочы,obrer
511,Chef::N,начальнік,cap
512,Meister::N,майстар,mestre
513,Arzt::N,урач,metge
514,Lehrer::N,настаўнік,mestre
515,Geld::N,грошы,dinērs
516,Geschäft::N,заняцце,negoci
517,Laden::N,крама,tenda
518,Laden::N,крама,botiga
519,Laden::N,магазін,tenda
520,Laden::N,магазін,botiga
521,Preis::N,цана,preu
522,Ware::N,тавар,mercaderia
523,Nutzen::N,выгада,profit
524,Reichtum::N,багацце,riquesa
525,Welt::N,свет,món
526,Land::N,краіна,país
527,Staat::N,дзяржава,estat
528,König::N,кароль,rei
529,Macht::N,улада,poder
530,Macht::N,улада,potència
531,Grenze::N,граніца,frontera
532,Krieg::N,вайна,guerra
