,Concept_ID,cy,sq
478,Fett::N,braster,yndyrë
479,Butter::N,ymenyn,gjalpë
480,Öl::N,olew,vaj
481,Salz::N,halen,kripë
482,Suppe::N,cawl,supë
483,Suppe::N,cawl,çorbë
484,Honig::N,mêl,mjaltë
485,Milch::N,llaeth,qumësht
486,Milch::N,llefrith,qumësht
487,Tee::N,te,çaj
488,Leder::N,lledr,lëkurë
489,Wolle::N,gwlân,lesh
490,Stoff::N,lliain,pëlhurë
491,Stoff::N,brethyn,pëlhurë
492,Nadel::N,nodwydd,gjilpërë
493,Faden::N,edau,pe
494,Faden::N,edau,fije
495,Faden::N,edefyn,pe
496,Faden::N,edefyn,fije
497,Knopf::N,botwm,kopsë
498,Knoten::N,cwlwm,komb
499,Farbe::N,paent,bojë
500,Kleidung::N,dillad,veshje
501,Kleidung::N,gwisgoedd,veshje
502,Hemd::N,crys,këmishë
503,Kragen::N,coler,jakë
504,Ärmel::N,llawes,mëngë
505,Hose::N,trowsus,brekë
506,Gürtel::N,gwregys,rrip
507,Mütze::N,cap,kësulë
508,Schuh::N,esgid,këpucë
509,Stiefel::N,botasen,çizme
510,Ring::N,modrwy,unazë
511,Band::N,rhuban,shirit
512,Kamm::N,crib,krehër
513,Spiegel::N,drych,pasqyrë
514,Riemen::N,strap,rrip
515,Schnur::N,llinyn,litar
516,Schnur::N,llinyn,cikomë
517,Leine::N,tennyn,rrip
518,Decke::N,blanced,batanije
519,Decke::N,gwrthban,batanije
520,Kissen::N,clustog,jastëk
521,Kissen::N,gobennydd,jastëk
522,Tuch::N,sgarff,shami
523,Handtuch::N,tywel,peshqir
524,Handtuch::N,lliain sychu,peshqir
525,Kraft::N,grym,forcë
526,Stärke::N,nerth,koll
527,Stärke::N,cryfder,koll
528,Gesundheit::N,iechyd,shëndet
529,Krankheit::N,afiechyd,sëmundje
530,Krankheit::N,anhwylder,sëmundje
531,Schmerz::N,poen,dhimbje
532,Schmerz::N,gwayw,dhimbje
533,Wunde::N,clwyf,plagë
534,Fieber::N,twymyn,ethe
535,Arznei::N,meddyginiaeth,ilaç
536,Brücke::N,pont,urë
537,Brunnen::N,ffynnon,pus
538,Weide::N,porfa,kullotë
539,Pfad::N,llwybr,ravë
540,Pfad::N,llwybr,shteg
541,Weg::N,ffordd,udhë
542,Weg::N,ffordd,shteg
543,Straße::N,heol,rrugë
544,Straße::N,ffordd,rrugë
545,Dorf::N,pentref,fshat
546,Dorf::N,pentref,katund
547,Stadt::N,tref,qytet
548,Brief::N,llythyr,letër
549,Buch::N,llyfr,libër
550,Buchstabe::N,llythyren,shkronjë
551,Zeitung::N,papur newydd,gazetë
552,Leben::N,bywyd,jetë
553,Tod::N,marwolaeth,mortje
554,Grab::N,bedd,varr
555,Kirche::N,eglwys,kishë
556,Sünde::N,pechod,mëkat
557,Sünde::N,pechod,gjynah
558,Gott::N,duw,hy
559,Gott::N,duw,zot
560,Arbeiter::N,gweithiwr,punëtor
561,Chef::N,pennaeth,shef
562,Chef::N,pennaeth,drejtues
563,Meister::N,meistr,mjeshtër
564,Arzt::N,meddyg,mjek
565,Arzt::N,meddyg,doktor
566,Lehrer::N,athro,mësues
567,Lehrer::N,athro,arsimtar
568,Geld::N,pres,para
569,Geld::N,pres,holla
570,Geld::N,arian,para
571,Geld::N,arian,holla
572,Geschäft::N,busnes,ujdi
573,Geschäft::N,busnes,biznes
574,Laden::N,siop,dyqan
575,Preis::N,pris,çmim
576,Ware::N,nwydd,mall
577,Nutzen::N,elw,dobi
578,Nutzen::N,elw,leverdi
579,Nutzen::N,budd,dobi
580,Nutzen::N,budd,leverdi
581,Reichtum::N,cyfoeth,kamje
582,Reichtum::N,cyfoeth,pasuri
583,Welt::N,byd,botë
584,Land::N,gwlad,vend
585,Staat::N,gwladwriaeth,shtet
586,König::N,brenin,mbret
587,Macht::N,grym,fuqi
588,Macht::N,grym,pushtet
589,Macht::N,awdurdod,fuqi
590,Macht::N,awdurdod,pushtet
591,Grenze::N,ffin,kufi
592,Grenze::N,goror,kufi
593,Krieg::N,rhyfel,luftë
594,Feind::N,gelyn,armik
595,Gewalt::N,ffyrnigrwydd,dhunë
596,Kampf::N,brwydr,luftim
597,Bogen[Waffe]::N,bwa,hark
598,Pfeil::N,saeth,shigjetë
599,Gewehr::N,dryll,pushkë
600,Fehler::N,gwall,gafë
601,Fehler::N,gwall,gabim
602,Fehler::N,camgymeriad,gafë
603,Fehler::N,camgymeriad,gabim
604,Lüge::N,celwydd,gënjeshtër
605,Lüge::N,anwiredd,gënjeshtër
606,Schaden::N,niwed,dëm
607,Schaden::N,niwed,zarar
608,Schaden::N,difrod,dëm
609,Schaden::N,difrod,zarar
610,Unglück::N,anffawd,fatkeqësi
611,Schuld::N,bai,faj
612,Alter::N,oed,moshë
613,Schluss::N,diwedd,fund
614,Zeit::N,amser,kohë
615,Tag::N,dydd,ditë
616,Tag::N,diwrnod,ditë
617,Morgen::N,bore,mëngjes
618,Mittag::N,nawn,mesditë
619,Abend::N,noswaith,mbrëmje
620,Nacht::N,nos,natë
621,Woche::N,wythnos,javë
622,Monat::N,mis,muaj
623,Jahr::N,blwyddyn,vit
624,Frühling::N,gwanwyn,pranverë
625,Sommer::N,haf,verë
626,Herbst::N,hydref,vjeshtë
627,Winter::N,gaeaf,dimër
628,Januar::N,Ionawr,janar
629,Februar::N,Chwefror,shkurt
630,März::N,Mawrth,mars
631,April::N,Ebrill,prill
632,Mai::N,Mai,maj
633,Juni::N,Mehefin,qershor
634,Juli::N,Gorffennaf,korrik
635,August::N,Awst,gusht
636,September::N,Medi,shtator
637,Oktober::N,Hydref,tetor
638,November::N,Tachwedd,nëntor
639,Dezember::N,Rhagfyr,dhjetor
640,Montag::N,dydd Llun,hënë
641,Dienstag::N,dydd Mawrth,martë
642,Mittwoch::N,dydd Mercher,mërkurë
643,Donnerstag::N,dydd Iau,enjte
644,Freitag::N,dydd Gwener,premte
645,Samstag::N,dydd Sadwrn,shtunë
646,Sonntag::N,dydd Sul,diel
647,groß::A,mawr,madh
648,klein::A,bach,vogël
649,lang::A,hir,gjatë
650,kurz::A,byr,shkurtër
651,kurz::A,cwta,shkurtër
652,breit::A,llydan,gjerë
653,schmal::A,cul,ngushtë
654,dicht::A,dwys,dendur
655,dick[Gegenstand]::A,trwchus,trashë
656,dünn::A,tenau,hollë
657,fein::A,main,imët
658,fest::A,cadarn,fortë
659,flach::A,gwastad,sheshtë
660,glatt::A,llyfn,rrafshët
661,hart::A,caled,fortë
662,weich::A,meddal,butë
663,rund::A,crwn,rrumbullakët
664,spitz::A,pigfain,majëmprehtë
665,scharf::A,miniog,mprehtë
666,stumpf::A,pŵl,topitur
667,schwer::A,trwm,rëndë
668,schön::A,teg,bukur
669,schön::A,hardd,bukur
670,schön::A,prydferth,bukur
671,heiß::A,poeth,nxehtë
672,warm::A,twym,ngrohtë
673,warm::A,cynnes,ngrohtë
674,kalt::A,oer,ftohtë
675,kühl::A,oeraidd,freskët
676,frisch::A,iach,pastër
677,feucht::A,llaith,lagësht
678,nass::A,gwlyb,lagur
679,trocken::A,sych,thatë
680,voll::A,llawn,plotë
681,leer::A,gwag,bosh
682,leer::A,gwag,zbrazët
683,offen::A,agored,hapur
684,geschlossen::A,caead,mbyllur
685,geschlossen::A,caeëdig,mbyllur
686,sauber::A,glân,dëlirë
687,schmutzig::A,budr,ndyrë
688,schmutzig::A,brwnt,ndyrë
689,roh::A,amrwd,gjallë
690,reif::A,aeddfed,arrirë
691,lecker::A,blasus,shijshëm
692,lecker::A,danteithiol,shijshëm
693,süß::A,melys,ëmbël
694,bitter::A,chwerw,hidhur
695,sauer::A,sur,thartë
696,hell::A,disglair,me dritë
697,dunkel::A,tywyll,errët
698,schwarz::A,du,i zi
699,weiß::A,gwyn,bardhë
700,rot::A,coch,kuq
701,gelb::A,melyn,verdhë
702,blau::A,glas,blu
703,blau::A,glas,kaltër
704,grün::A,gwyrdd,blertë
705,grün::A,gwyrdd,gjelbër
706,grau::A,llwyd,hirtë
707,grau::A,llwyd,bojë hiri
708,bunt::A,lliwgar,shumëngjyrëshëm
709,billig::A,rhad,lirë
710,teuer::A,drud,shtrenjtë
711,wertvoll::A,gwerthfawr,çmuar
712,wertvoll::A,gwerthfawr,vlershëm
713,blind::A,dall,qorr
714,blind::A,dall,verbër
715,taub::A,byddar,shurdhër
716,kräftig::A,nerthol,fuqishëm
717,kräftig::A,grymus,fuqishëm
718,stark::A,cryf,fortë
719,stark::A,cadarn,fortë
720,schwach::A,gwan,dobët
721,fett::A,tew,dhjamur
722,schlank::A,main,hollë
723,hübsch::A,tlws,bukur
724,hübsch::A,tlws,hijshëm
725,böse::A,drwg,keq
726,dumm::A,twp,teveqel
727,faul::A,diog,dembel
728,fleißig::A,dyfal,zellshëm
729,geizig::A,crintach,kurnac
730,geizig::A,crintach,dorështrënguar
731,geizig::A,cybyddlyd,kurnac
732,geizig::A,cybyddlyd,dorështrënguar
733,klug::A,deallus,mençur
734,geschickt::A,medrus,aftë
735,geschickt::A,deheuig,aftë
736,lieb::A,hoff,dashur
737,lieb::A,annwyl,dashur
738,lustig::A,llon,gëzuar
739,sanft::A,mwyn,butë
740,hungrig::A,newynog,uritur
741,krank::A,sâl,sëmurë
742,krank::A,gwael,sëmurë
743,nackt::A,noeth,lakuriq
744,nackt::A,noeth,zhveshur
745,traurig::A,trist,trishtuar
746,lebendig::A,yn fyw,gjallë
747,gut::A,da,mirë
748,schlecht::A,drwg,keq
749,schlecht::A,gwael,keq
750,richtig::A,cywir,drejtë
751,schlimm::A,enbyd,keq
752,wahr::A,gwir,vërtetë
753,alt::A,hen,vjetër
754,neu::A,newydd,i ri
755,ehemalig::A,blaenorol,dikurshëm
756,alt[Lebewesen]::A,oedrannus,plak
757,jung::A,ifanc,i ri
758,arm::A,tlawd,varfër
759,arm::A,tlawd,vobektë
760,reich::A,cyfoethog,pasur
761,bekannt::A,cynefin,njohur
762,bekannt::A,cyfarwydd,njohur
763,berühmt::A,enwog,famshëm
764,fremd::A,estron,huaj
765,verschieden::A,gwahanol,ndryshëm
766,nah::A,agos,afërt
767,fern::A,pell,largët
768,linker::A,aswy,majtë
769,linker::A,chwith,majtë
770,rechter::A,de,djathtë
771,rechter::A,deau,djathtë
772,anderer::A,arall,tjetër
773,erster::A,cyntaf,parë
774,zweiter::A,ail,dytë
775,dritter::A,trydydd,i tretë
776,letzter::A,olaf,fundit
777,allein::ADV,unig,vetëm
778,allein::ADV,ar ei ben ei hun,vetëm
779,auf einmal::ADV,ar yr un pryd,njëkohësisht
780,zusammen::ADV,ynghyd,bashkë
781,zusammen::ADV,ynghyd,së bashku
782,zusammen::ADV,gyda'i gilydd,bashkë
783,zusammen::ADV,gyda'i gilydd,së bashku
784,lange::ADV,amser hir,për një kohë të gjatë
785,plötzlich::ADV,yn sydyn,befas
786,sofort::ADV,ar unwaith,menjëherë
787,sofort::ADV,ar unwaith,aty për aty
788,später::ADV,yn ddiweddarach,më vonë
789,jetzt::ADV,yn awr,tash
