,Concept_ID,cy,sk
661,fest::A,cadarn,pevný
662,flach::A,gwastad,rovný
663,flach::A,gwastad,plochý
664,glatt::A,llyfn,hladký
665,hart::A,caled,tvrdý
666,weich::A,meddal,mäkký
667,rund::A,crwn,guľatý
668,rund::A,crwn,okrúhly
669,spitz::A,pigfain,končitý
670,scharf::A,miniog,ostrý
671,stumpf::A,pŵl,tupý
672,schwer::A,trwm,ťažký
673,schön::A,teg,pekný
674,schön::A,teg,krásny
675,schön::A,hardd,pekný
676,schön::A,hardd,krásny
677,schön::A,prydferth,pekný
678,schön::A,prydferth,krásny
679,heiß::A,poeth,horúci
680,warm::A,twym,teplý
681,warm::A,cynnes,teplý
682,kalt::A,oer,studený
683,kühl::A,oeraidd,chladný
684,frisch::A,iach,svieži
685,feucht::A,llaith,vlhký
686,feucht::A,llaith,zvlhnutý
687,nass::A,gwlyb,mokrý
688,trocken::A,sych,suchý
689,voll::A,llawn,plný
690,leer::A,gwag,prázdny
691,offen::A,agored,otvorený
692,geschlossen::A,caead,zavretý
693,geschlossen::A,caeëdig,zavretý
694,sauber::A,glân,čistý
695,schmutzig::A,budr,špinavý
696,schmutzig::A,brwnt,špinavý
697,roh::A,amrwd,surový
698,reif::A,aeddfed,zrelý
699,lecker::A,blasus,chutný
700,lecker::A,danteithiol,chutný
701,süß::A,melys,sladký
702,bitter::A,chwerw,horký
703,sauer::A,sur,kyslý
704,hell::A,disglair,jasný
705,hell::A,disglair,svetlý
706,dunkel::A,tywyll,temný
707,schwarz::A,du,čierny
708,weiß::A,gwyn,biely
709,rot::A,coch,červený
710,gelb::A,melyn,žltý
711,blau::A,glas,modrý
712,blau::A,glas,belasý
713,grün::A,gwyrdd,zelený
714,grau::A,llwyd,šedý
715,bunt::A,lliwgar,pestrý
716,billig::A,rhad,lacný
717,teuer::A,drud,drahý
718,wertvoll::A,gwerthfawr,cenný
719,blind::A,dall,slepý
720,taub::A,byddar,hluchý
721,kräftig::A,nerthol,silný
722,kräftig::A,grymus,silný
723,stark::A,cryf,silný
724,stark::A,cadarn,silný
725,schwach::A,gwan,slabý
726,schwach::A,gwan,bezvládny
727,fett::A,tew,tučný
728,schlank::A,main,štíhly
729,hübsch::A,tlws,šumný
730,hübsch::A,tlws,švárny
731,böse::A,drwg,zlý
732,dumm::A,twp,hlúpy
733,faul::A,diog,lenivý
734,fleißig::A,dyfal,snaživý
735,fleißig::A,dyfal,usilovný
736,geizig::A,crintach,skupý
737,geizig::A,crintach,lakomý
738,geizig::A,cybyddlyd,skupý
739,geizig::A,cybyddlyd,lakomý
740,klug::A,deallus,múdry
741,klug::A,deallus,bystrý
742,geschickt::A,medrus,zručný
743,geschickt::A,medrus,šikovný
744,geschickt::A,deheuig,zručný
745,geschickt::A,deheuig,šikovný
746,lieb::A,hoff,milý
747,lieb::A,annwyl,milý
748,lustig::A,llon,veselý
749,sanft::A,mwyn,nežný
750,hungrig::A,newynog,lačný
751,hungrig::A,newynog,hladný
752,krank::A,sâl,chorý
753,krank::A,sâl,nemocný
754,krank::A,gwael,chorý
755,krank::A,gwael,nemocný
756,nackt::A,noeth,nahý
757,traurig::A,trist,smutný
758,lebendig::A,yn fyw,živý
759,gut::A,da,dobrý
760,schlecht::A,drwg,zlý
761,schlecht::A,gwael,zlý
762,richtig::A,cywir,správny
763,schlimm::A,enbyd,zlý
764,schlimm::A,enbyd,nepríjemný
765,wahr::A,gwir,pravý
766,wahr::A,gwir,pravdivý
767,alt::A,hen,starý
768,neu::A,newydd,nový
769,ehemalig::A,blaenorol,bývalý
770,alt[Lebewesen]::A,oedrannus,starý
771,jung::A,ifanc,mladý
772,arm::A,tlawd,chudobný
773,reich::A,cyfoethog,bohatý
774,bekannt::A,cynefin,známy
775,bekannt::A,cyfarwydd,známy
776,berühmt::A,enwog,slávny
777,berühmt::A,enwog,povestný
778,fremd::A,estron,cudzí
779,verschieden::A,gwahanol,rôzny
780,verschieden::A,gwahanol,rozličný
781,nah::A,agos,blízky
782,fern::A,pell,ďaleký
783,linker::A,aswy,ľavý
784,linker::A,chwith,ľavý
785,rechter::A,de,pravý
786,rechter::A,deau,pravý
787,anderer::A,arall,iný
788,anderer::A,arall,druhý
789,erster::A,cyntaf,prvý
790,zweiter::A,ail,druhý
791,dritter::A,trydydd,tretí
792,letzter::A,olaf,ostatný
793,letzter::A,olaf,posledný
794,allein::ADV,unig,sám
795,allein::ADV,ar ei ben ei hun,sám
796,auf einmal::ADV,ar yr un pryd,zároveň
797,zusammen::ADV,ynghyd,spolu
798,zusammen::ADV,ynghyd,spoločne
799,zusammen::ADV,gyda'i gilydd,spolu
800,zusammen::ADV,gyda'i gilydd,spoločne
801,lange::ADV,amser hir,dlho
802,plötzlich::ADV,yn sydyn,náhle
803,sofort::ADV,ar unwaith,hneď
804,sofort::ADV,ar unwaith,ihneď
805,später::ADV,yn ddiweddarach,neskoršie
806,jetzt::ADV,yn awr,teraz
