,Concept_ID,mhr,lez
519,Reichtum::N,поя́нлык,девлет
520,Welt::N,тӱня́,дуьнья
521,Land::N,эл,уьлкве
522,Staat::N,кугыжа́ныш,пачагьлугъ
523,Staat::N,кугыжа́ныш,государство
524,König::N,кугыжа́,пачагь
525,Macht::N,власть,власть
526,Grenze::N,грани́ца,сергьят
527,Krieg::N,сар,дяве
528,Feind::N,тушма́н,душман
529,Gewalt::N,виешлыма́ш,гуж
530,Kampf::N,кредалма́ш,женг
531,Bogen[Waffe]::N,юҥе́ж,чӏемерук
532,Pfeil::N,пикш,хьел
533,Gewehr::N,пыча́л,тфенг
534,Fehler::N,йо́ҥылыш,гъалатӏ
535,Lüge::N,шоя́к,ттаб
536,Schaden::N,зия́н,зиян
537,Schaden::N,зия́н,зарар
538,Unglück::N,эҥге́к,бала
539,Unglück::N,эҥге́к,бедбахтвал
540,Schuld::N,тита́к,тахсир
541,Schuld::N,йола́,тахсир
542,Alter::N,ийго́т,яш
543,Schluss::N,муча́ш,эхир
544,Zeit::N,жап,вяде
545,Zeit::N,па́гыт,вяде
546,Tag::N,ке́че,югъ
547,Morgen::N,эр,пакама
548,Mittag::N,кечыва́л,нисин
549,Abend::N,кас,няни
550,Nacht::N,йӱд,йиф
551,Woche::N,арня́,гьафте
552,Monat::N,ты́лзе,варз
553,Jahr::N,ий,йис
554,Frühling::N,шо́шо,гатфар
555,Sommer::N,кеҥе́ж,гад
556,Herbst::N,шы́же,зул
557,Winter::N,те́ле,кьуьд
558,Januar::N,шоркыйол,январь
559,Januar::N,идалыкву́й,январь
560,Januar::N,янва́рь,январь
561,Februar::N,пургыж,февраль
562,Februar::N,февра́ль,февраль
563,März::N,ӱярня,март
564,März::N,март,март
565,April::N,апре́ль,апрель
566,Mai::N,ага,май
567,Mai::N,май,май
568,Juni::N,пеледыш,июнь
569,Juni::N,ию́нь,июнь
570,Juli::N,сӱрем,июль
571,Juli::N,ию́ль,июль
572,August::N,сорла,август
573,August::N,агарма́н,август
574,August::N,а́вгуст,август
575,September::N,идым,сентябрь
576,September::N,сентя́брь,сентябрь
577,Oktober::N,шыжа,октябрь
578,Oktober::N,октя́брь,октябрь
579,November::N,кылме тылзе,ноябрь
580,November::N,ноя́брь,ноябрь
581,Dezember::N,дека́брь,декабрь
582,Montag::N,шо́чмо,ислен
583,Dienstag::N,ку́шкыжмо,саласа
584,Mittwoch::N,вӱрге́че,арбе
585,Donnerstag::N,изарня́,хемис югъ
586,Freitag::N,кугарня́,жуьмя
587,Freitag::N,кугарня́,жуьмя югъ
588,Samstag::N,шуматке́че,киш
589,Sonntag::N,рушарня́,гьяд
590,groß::A,кугу́,еке
591,groß::A,кугу́,чӏехи
592,klein::A,изи́,гъвечӏи
593,lang::A,кужу́,яргъи
594,kurz::A,кӱ́чык,куьруь
595,breit::A,кумда́,гьяркьуь
596,schmal::A,а́ҥысыр,гуьтӏуь
597,dicht::A,ну́гыдо,къалин
598,dick[Gegenstand]::A,кӱ́жгӧ,
599,dünn::A,ви́чкыж,кьелечӏ
600,fein::A,ты́гыде,шуькӏуь
601,fest::A,чо́ткыдо,кӏеви
602,flach::A,лапка́,кьулу
603,glatt::A,яклака́,цӏалцӏам
604,hart::A,пе́ҥгыде,кӏеви
605,weich::A,пу́шкыдо,хъуьтуьл
606,rund::A,йырге́шке,элкъвей
607,spitz::A,коша́р,хци
608,scharf::A,пӱ́сӧ,хци
