,Concept_ID,av,fr
532,Gott::N,аллагь,dieu
533,Arbeiter::N,хӏалтӏухъан,ouvrier
534,Arbeiter::N,хӏалтӏухъан,travailleur
535,Chef::N,хӏаким,chef
536,Chef::N,хӏаким,patron
537,Chef::N,начальник,chef
538,Chef::N,начальник,patron
539,Meister::N,устар,maître
540,Meister::N,мастер,maître
541,Meister::N,махщалилав,maître
542,Arzt::N,жайрахӏ,médecin
543,Lehrer::N,мугӏалим,professeur
544,Lehrer::N,мугӏалим,instituteur
545,Geld::N,гӏарац,argent
546,Laden::N,тукен,magasin
547,Laden::N,тукен,boutique
548,Preis::N,багьа,prix
549,Ware::N,къайи,marchandise
550,Nutzen::N,мунпагӏат,profit
551,Reichtum::N,бечелъи,richesse
552,Welt::N,дуниял,monde
553,Land::N,улка,pays
554,Land::N,икълим,pays
555,Staat::N,пачалихъ,État
556,König::N,пача,roi
557,König::N,малик,roi
558,König::N,къирал,roi
559,König::N,падишагь,roi
560,Macht::N,кверщел,pouvoir
561,Macht::N,кверщел,puissance
562,Grenze::N,гӏорхъи,frontière
563,Krieg::N,рагъ,guerre
564,Feind::N,тушман,ennemi
565,Gewalt::N,зулму,violence
566,Kampf::N,къеркьей,lutte
567,Kampf::N,къеркьей,combat
568,Bogen[Waffe]::N,газаргъо,arc
569,Pfeil::N,чӏор,flèche
570,Gewehr::N,туманкӏ,fusil
571,Fehler::N,гъалатӏ,faute
572,Fehler::N,гъалатӏ,erreur
573,Lüge::N,гьереси,mensonge
574,Schaden::N,зиян,dégât
575,Schaden::N,зиян,dommage
576,Schaden::N,зарал,dégât
577,Schaden::N,зарал,dommage
578,Unglück::N,балагь,malheur
579,Schuld::N,гӏайиб,faute
580,Schuld::N,гӏайиб,culpabilité
581,Alter::N,гӏумру,âge
582,Schluss::N,ахир,fin
583,Zeit::N,заман,temps
584,Tag::N,къо,jour
585,Tag::N,къо,journée
586,Morgen::N,радалмех,matin
587,Morgen::N,радалмех,matinée
588,Mittag::N,къадемех,midi
589,Abend::N,релъедамех,soir
590,Abend::N,релъедамех,soirée
591,Nacht::N,сордо,nuit
592,Woche::N,анкь,semaine
593,Monat::N,моцӏ,mois
594,Jahr::N,сон,an
595,Jahr::N,сон,année
596,Jahr::N,лъагӏел,an
597,Jahr::N,лъагӏел,année
598,Frühling::N,их,printemps
599,Sommer::N,рии,été
600,Herbst::N,хасалихълъи,automne
601,Winter::N,кьин,hiver
602,Januar::N,январь,janvier
603,Februar::N,февра́ль,février
604,März::N,март,mars
605,April::N,апрель,avril
606,Mai::N,май,mai
607,Juni::N,июнь,juin
608,Juli::N,июль,juillet
609,August::N,август,août
610,September::N,сентябрь,septembre
