,Concept_ID,ce,de
240,Wort::N,дош,Wort
241,Zeichen::N,билгало,Zeichen
242,Ruf::N,кхайкхар,Ruf
243,Lärm::N,гӏовгӏа,Lärm
244,Laut::N,аз,Laut
245,Ton::N,aз,Ton
246,Lied::N,илли,Lied
247,Ruhe::N,тийналла,Ruhe
248,Leute::N,нах,Leute
249,Volk::N,халкъ,Volk
250,Arbeit::N,болх,Arbeit
251,Gast::N,хьаша,Gast
252,Geschenk::N,совгӏат,Geschenk
253,Spiel::N,ловзар,Spiel
254,Gesellschaft::N,юкъаралла,Gesellschaft
255,Hilfe::N,гӏо,Hilfe
256,Freund::N,доттагl,Freund
257,Kamerad::N,накъост,Kamerad
258,Angelegenheit::N,гӏуллакх,Angelegenheit
259,Anzahl::N,терахь,Anzahl
260,Stück::N,юьхк,Stück
261,Teil::N,дакъа,Teil
262,Hälfte::N,ах,Hälfte
263,Kreis::N,го,Kreis
264,Kreuz::N,жӏара,Kreuz
265,Linie::N,сиз,Linie
266,Strich::N,сиз,Strich
267,Abstand::N,юкъ,Abstand
268,Gegend::N,мeттиг,Gegend
269,Platz::N,майда,Platz
270,Ort::N,меттиг,Ort
271,Seite::N,aгӏo,Seite
272,Mitte::N,юкъ,Mitte
273,Gegenstand::N,хӏума,Gegenstand
274,Sache::N,хӏума,Sache
275,Rand::N,йист,Rand
276,Kante::N,йист,Kante
277,Ecke::N,са,Ecke
278,Spitze::N,ралла,Spitze
279,Ende::N,юьхьиг,Ende
280,Loch::N,ӏуьрг,Loch
281,Winkel::N,са,Winkel
282,Muster::N,дагар,Muster
283,Muster::N,тӏамар,Muster
284,Größe::N,барам,Größe
285,Länge::N,йохалла,Länge
286,Höhe::N,локхалла,Höhe
287,Gewicht::N,йозалла,Gewicht
288,Menge::N,дукхалла,Menge
289,Haufen::N,сал,Haufen
290,Haufen::N,оьла,Haufen
291,Reihe::N,рагӏ,Reihe
292,Reihe::N,могӏа,Reihe
293,Boot::N,кема,Boot
294,Ruder::N,пийсиг,Ruder
295,Schlitten::N,салаз,Schlitten
296,Ski::N,когсалаз,Ski
