,Concept_ID,da,et
689,danach::ADV,derefter,seejärel
690,vorher::ADV,før,enne
691,vorher::ADV,forud,enne
692,zuerst::ADV,først,enne
693,zuerst::ADV,først,esmalt
694,einmal::ADV,en gang,kord
695,einmal::ADV,en gang,üks kord
696,manchmal::ADV,sommetider,mõnikord
697,oft::ADV,ofte,tihti
698,oft::ADV,ofte,sageli
699,immer::ADV,altid,ikka
700,immer::ADV,altid,alati
701,niemals::ADV,aldrig,mitte kunagi
702,hier::ADV,her,siin
703,hierhin::ADV,hid,siia
704,hierhin::ADV,herhen,siia
705,von hier::ADV,herfra,siit
706,dort::ADV,der,seal
707,dorthin::ADV,derhen,sinna
708,geradeaus::ADV,lige ud,otse edasi
709,vorwärts::ADV,fremad,edasi
710,rückwärts::ADV,baglæns,tagurpidi
711,zurück::ADV,tilbage,tagasi
712,unten::ADV,nede,all
713,unten::ADV,nede,allpool
714,unten::ADV,forneden,all
715,unten::ADV,forneden,allpool
716,hinab::ADV,ned,alla
717,hinab::ADV,nedad,alla
718,oben::ADV,oppe,ülal
719,oben::ADV,ovenpå,ülal
720,hinauf::ADV,op,üles
721,hinauf::ADV,opad,üles
722,überall::ADV,overalt,kõikjal
723,nicht::ADV,ikke,ei
724,nicht::ADV,ikke,mitte
725,ein wenig::ADV,lidt,veidi
726,ein wenig::ADV,lidt,natuke
727,kaum::ADV,knap,vaevalt
728,kaum::ADV,næppe,vaevalt
729,sehr::ADV,meget,väga
730,so::ADV,så,nii
731,noch::ADV,endnu,veel
732,nur::ADV,kun,ainult
733,nur::ADV,bare,ainult
734,schon::ADV,alt,juba
735,schon::ADV,allerede,juba
736,wieder::ADV,igen,jälle
737,vergebens::ADV,forgæves,asjata
738,vor::PRP,foran,ees
739,vor::PRP,uden for,ees
740,hinter::PRP,bag,taha
741,hinter::PRP,bagved,taha
742,unter::PRP,under,all
743,durch::PRP,gennem,läbi
744,durch::PRP,gennem,kaudu
745,durch::PRP,igennem,läbi
746,durch::PRP,igennem,kaudu
747,neben::PRP,ved siden af,kõrval
748,zwischen::PRP,mellem,vahel
749,wegen::PRP,på grund af,tõttu
750,wegen::PRP,på grund af,pärast
751,dies::PRN,dette,see
752,das::PRN,det,see
753,alles::PRN,alt,kõik
754,ich::PRN,jeg,mina
755,du::PRN,du,sina
756,er::PRN,han,tema
757,wir::PRN,vi,me
758,ihr::PRN,I,te
759,sie::PRN,de,nad
760,was::FPRN,hvad,mis
761,wer::FPRN,hvem,kes
762,wo::FADV,hvor,kus
