,Concept_ID,,ko
681,zwölf::NUM,,열둘
682,zwanzig::NUM,,스물
683,dreißig::NUM,,서름
684,vierzig::NUM,,마흔
685,fünfzig::NUM,,숸
686,sechzig::NUM,,에순
687,siebzig::NUM,,일흔
688,achtzig::NUM,,여든
689,neunzig::NUM,,아흔
690,hundert::NUM,,백
691,tausend::NUM,,천
692,und::CNJ,,와
693,oder::CNJ,,아니면
694,stehen::V,,서다
695,sitzen::V,,앉다
696,liegen::V,,눕다
697,hängen::V,,달다
698,werden::V,,되다
699,passieren::V,,지장옶다
700,beginnen::V,,시작되다
701,enden::V,,큳내다
702,wechseln::V,,병경하다
703,aufgehen[Sonne]::V,,뜨다
704,untergehen[Sonne]::V,,지다
705,scheinen[Sonne]::V,,빛나다
706,donnern::V,,천둥치다
707,wehen::V,,풀다
708,strömen::V,,흐르다
709,fließen::V,,흐르다
710,sich drehen::V,,돌다
711,schwanken::V,,동요하다
712,schwingen::V,,흔들다
713,fallen::V,,떨어지다
714,brennen::V,,타다
715,rauchen::V,,김이나다
716,regnen::V,,비가오다
717,gefrieren::V,,얼다
718,tauen::V,,녹다
719,schmelzen::V,,녹다
720,trocknen::V,,홈치다
721,sieden::V,,끓다
722,faulen::V,,부패하다
723,verfaulen::V,,썩다
724,reißen::V,,지바찢다
725,versinken::V,,가라앉다
726,vergehen::V,,지나가다
727,erscheinen::V,,나타나다
728,verschwinden::V,,사라지다
729,sinken::V,,가라앉다
730,abnehmen::V,,떼어내다
731,zunehmen::V,,증가하다
732,steigen::V,,상승하다
733,wachsen::V,,생기하다
734,glänzen::V,,뛰오나다
735,funkeln::V,,불티가잍어나다
736,lärmen::V,,떠들다
737,läuten::V,,울시다
738,klingeln::V,,초닌총을울리다
739,klirren::V,,탁탁울리다
740,brausen::V,,쏴쏴소리내다
741,rauschen::V,,솨솨
742,klingen::V,,반향하다
743,bellen::V,,짖다
744,heulen::V,,포효하다
745,blasen::V,,불다
746,pfeifen::V,,피리를불다
747,schreien::V,,절규하다
748,stöhnen::V,,신음하다
749,zittern::V,,저뉼하다
750,leben::V,,살다
751,geboren werden::V,,태어난
752,atmen::V,,숨쉬다
753,trinken::V,,마시다
754,essen::V,,먹다
755,schlucken::V,,들이켜다
756,einschlafen::V,,잠들다
757,schlafen::V,,자다
758,aufwachen::V,,눈트다
759,aufstehen::V,,서다
760,sich erholen::V,,회복하다
761,schmerzen::V,,아프다
762,husten::V,,잔기침하다
763,genesen::V,,낫다
764,sterben::V,,죽다
765,umkommen::V,,못쓰게되다
766,sich bewegen::V,,움직이다
767,sich rühren::V,,움직이다
768,sich erheben::V,,이러서다
769,sich setzen::V,,앉히다
770,hinfallen::V,,넘어지다
771,laufen::V,,걷다
772,schreiten::V,,보행하다
773,spazierengehen::V,,산보하다
774,eilen::V,,서둘다
775,sich beeilen::V,,서둘게하다
776,sausen::V,,서들러 떠나다
777,rennen::V,,달리다
778,springen::V,,도약하다
779,klettern::V,,갑겨오르다
780,schaukeln::V,,흔들리게하다
781,kriechen::V,,기다
782,schwimmen::V,,헤엄치다
783,tauchen::V,,잠기다
784,rudern::V,,물을헤치다
785,fahren::V,,가다
786,fahren::V,,나르다
787,fliegen::V,,날다
788,gehen::V,,가다
789,weggehen::V,,팔리다
790,abfahren::V,,출발하다
791,anhalten::V,,멈추다
792,hineingehen::V,,(그리로)가다
793,eintreten::V,,들러가다
794,kommen::V,,오다
795,ankommen::V,,고챀하다
796,zurückkommen::V,,보기
797,bleiben::V,,체류
798,warten::V,,기다리다
799,erwarten::V,,기대하다
800,suchen::V,,찾다
801,suchen::V,,구하다
802,finden::V,,찾아내다
803,versuchen::V,,시험하다
804,vorbereiten::V,,재비하다
805,lieben::V,,사랑하다
806,mögen::V,,줗아하다
807,lachen::V,,웃다
808,rühren::V,,건드리다
809,weinen::V,,울다
810,schimpfen::V,,꾸짖다
811,sich ärgern::V,,화를내게 하다
812,sich fürchten::V,,두려원하다
813,fürchten::V,,두려원하다
814,fliehen::V,,도망치다
815,flüchten::V,,도주하다
816,sehen::V,,보다
817,anschauen::V,,바라보다
818,ansehen::V,,바라보다
819,hören::V,,듣다
820,zuhören::V,,듣다
821,probieren::V,,시식하다
822,riechen::V,,내새를맡다
