,Concept_ID,no,mn
267,Mutter::N,mor,ээж
268,Sohn::N,sønn,хүү
269,Tochter::N,datter,охин
270,Bruder::N,bror,ах
271,Bruder::N,bror,дүү
272,Schwester::N,søster,эгч
273,Schwester::N,søster,охин дүү
274,Onkel::N,onkel,авга ах
275,Onkel::N,onkel,нагац ах
276,Tante::N,tante,авга эгч
277,Tante::N,tante,нагац эгч
278,Ehemann::N,ektemann,нөхөр
279,Ehefrau::N,hustru,эхнэр
280,Ehefrau::N,hustru,гэргий
281,Freude::N,glede,баяр
282,Freude::N,glede,баясгалан
283,Gelächter::N,latter,инээдэм
284,Glück::N,lykke,жаргалан
285,Kummer::N,sorg,гаслан
286,Wunsch::N,ønske,ерөөл
287,Lust::N,lyst,дур
288,Lust::N,lyst,хүсэл
289,Geist::N,ånd,оюун
290,Gedanke::N,tanke,сэтгэл
291,Gedächtnis::N,minne,ой
