,Concept_ID,ml,kn
205,Eltern::N,മാതാപിതാക്കള്,ಹೆತ್ತವರು
206,Vater::N,അച്ഛൻ,ತಂದೆ
207,Mutter::N,അമ്മ,ಅಮ್ಮ
208,Sohn::N,മകൻ,ಮಗ 
209,Tochter::N,മകൾ,ಮಗಳು
210,Bruder::N,ചേട്ടൻ,ತಮ್ಮ
211,Bruder::N,അനിയൻ,ತಮ್ಮ
212,Schwester::N,ചേച്ചി,ತಂಗಿ
213,Schwester::N,അനിയത്തി,ತಂಗಿ
214,Onkel::N,അമ്മാവൻ,ಸೋದರಮಾವ
215,Onkel::N,അമ്മാവൻ,ದೊಡ್ಡಪ್ಪ
216,Tante::N,മാമി,ಚಿಕ್ಕಮ್ಮ
217,Ehemann::N,ഭർത്താവ്,ಗಂಡ
218,Ehefrau::N,ഭാര്യ,ಹೆಂಡತಿ
219,Freude::N,ആഹ്ലാദം,ನಲಿವು
220,Gelächter::N,ചിരിയുടെ ശബ്ദം,ನಗೆ
221,Glück::N,സന്തോഷം,ಆನಂದ
222,Glück::N,സന്തുഷ്ടി,ಆನಂದ
223,Kummer::N,ശോകം,ದುಃಖ
224,Wunsch::N,ആഗ്രഹം,ಬಯಕೆ
225,Lust::N,ആഗ്രഹം,ಇಷ್ಟ
226,Geist::N,ചുറുചുറുക്ക്,ಆತ್ಮ
227,Gedanke::N,ചിന്ത,ಯೋಚನೆ
228,Gedächtnis::N,ഓർമ്മശക്തി,ಸ್ಮರಣೆ
229,Verstand::N,മനസ്സ്,ಮನಸ್ಸು
230,Sinn::N,അർത്ഥം,ಅರ್ಥ
231,Grund::N,കാരണം,ಕಾರಣ
232,Wahrheit::N,സത്യം,ಸತ್ಯ
233,Gespräch::N,സല്ലാപം,ಸಂಭಾಷಣೆ
234,Märchen::N,യക്ഷിക്കഥ,ಸುಳ್ಳು ಕಥೆ
235,Erzählung::N,കഥ,ಕಥೆ
236,Nachricht::N,സന്ദേശം,ಸಂದೇಶ
237,Neuigkeit::N,വാർത്ത,ಸುದ್ದಿ
238,Name::N,പേര്,ಹೆಸರು
239,Rätsel::N,പ്രഹേളിക,ಒಗಟು
240,Rede::N,സംസാരം,ಮಾತು
241,Sprache::N,ഭാഷ,ಭಾಷೆ
242,Stimme::N,സ്വരം,ಧ್ವನಿ
243,Wort::N,വാക്ക്,ಮಾತು
244,Zeichen::N,സംജ്ഞ,ಗುರುತು
245,Ruf::N,വിളി,ಕೂಗು
246,Lärm::N,ആരവം,ಸದ್ದು
247,Laut::N,ശബ്ദം,ಶಬ್ದ
248,Ton::N,സ്വരഭേദം,ನಾದ
249,Lied::N,പാട്ട്,ಗಾನ
250,Ruhe::N,നിശ്ചലത,ಶಾಂತಿ
251,Leute::N,ജനങ്ങൾ,ಮಂದಿ
252,Volk::N,രാഷ്ടം,ಜನಾಂಗ
253,Arbeit::N,ജോലി,ಕೆಲಸ
254,Gast::N,അതിലി,ಅತಿಥಿ
255,Geschenk::N,സമ്മാനം,ಕಾಣಿಕೆ
256,Spiel::N,കളി,ಆಟ
257,Gesellschaft::N,കൂട്ടായ്മ,ಸಂಗ
258,Hilfe::N,സഹായം,ಸಹಾಯ
259,Freund::N,സുഹൃത്ത്,ಸ್ನೇಹಿತ
260,Kamerad::N,കൂട്ടാളി,ಜೊತೆಗಾರ
261,Angelegenheit::N,കാര്യം,ವಿಚಾರ
262,Anzahl::N,എണ്ണം,ಎಣಿಕೆ
263,Art::N,തരം,ತರ
264,Stück::N,കഷണം,ತುಂಡು
265,Teil::N,ഭാഗം,ಭಾಗ
266,Hälfte::N,പകുതി,ಅರ್ಧ
267,Kreis::N,വൃത്തം,ವೃತ್ತ
268,Kreuz::N,കുരിശടയാളം,ಶಿಲುಬೆ
269,Linie::N,വര,ರೀಖೆ
270,Linie::N,രേഖ,ರೀಖೆ
271,Strich::N,പക്ഷാഘാതം,ಗೀಟು
272,Abstand::N,വിടവ്,ಅಂತರ
273,Entfernung::N,അകലം,ದೂರ
274,Gegend::N,പ്രദേശം,ವಿಸ್ತೀರ್ಣ
275,Platz::N,ഇടം,ಅಂತರ
276,Ort::N,സ്ഥലം,ಸ್ಥಳ
277,Seite::N,വശം,ಪಕ್ಷ
278,Mitte::N,മധ്യസ്ഥാനം,ನಡು
279,Gegenstand::N,സാധനം,ವಸ್ತು
280,Sache::N,വസ്തു,ವಸ್ತು
281,Rand::N,തൊങ്ങൽ,ಅಂಚು
282,Kante::N,അറ്റം,ಅಂಚು
283,Ecke::N,മൂല,ಮೂಲೆ
