,Concept_ID,is,br
640,lieb::A,kær,koant
641,lieb::A,ljúfur,koant
642,lustig::A,kátur,laouen
643,sanft::A,blíður,flour
644,hungrig::A,soltinn,marnaon
645,hungrig::A,hungraður,marnaon
646,krank::A,sjúkur,klañv
647,nackt::A,nakinn,noazh
648,traurig::A,dapur,trist
649,traurig::A,hryggur,trist
650,lebendig::A,lifandi,bev
651,gut::A,góður,mad
652,schlecht::A,slæmur,fall
653,schlecht::A,slæmur,gwall
654,schlecht::A,lélegur,fall
655,schlecht::A,lélegur,gwall
656,richtig::A,réttur,reizh
657,schlimm::A,slæmur,gwall
658,wahr::A,sannur,gwir
659,alt::A,gamall,kozh
660,neu::A,nýr,nevez
661,ehemalig::A,fyrrverandi,kozh
662,alt[Lebewesen]::A,gamall,kozh
663,jung::A,ungur,yaouank
664,arm::A,vesall,paour
665,arm::A,fátækur,paour
666,reich::A,ríkur,pinvidik
667,reich::A,auðugur,pinvidik
668,bekannt::A,kunnugur,anavezet
669,berühmt::A,frægur,brudet
670,fremd::A,framandi,dizanav
671,fremd::A,ókunnugur,dizanav
672,verschieden::A,ýmis,disheñel
673,nah::A,nálægur,nes
674,fern::A,fjarri,diabell
675,fern::A,fjarlægur,diabell
676,linker::A,vinstri,kleiz
677,rechter::A,hægri,dehoù
678,anderer::A,annar,all
679,erster::A,fyrsti,kentañ
680,zweiter::A,annar,eil
681,dritter::A,þriðji,trede
682,letzter::A,síðasti,diwezhañ
683,allein::ADV,einn,e-unan
684,allein::ADV,aleinn,e-unan
685,auf einmal::ADV,allt í einu,ar un dro
686,zusammen::ADV,saman,asambles
687,lange::ADV,lengi,pell
688,plötzlich::ADV,skyndilega,en un taol
689,sofort::ADV,strax,diouzhtu
690,sofort::ADV,þegar í stað,diouzhtu
691,später::ADV,seinna,diwezhatoc'h
692,jetzt::ADV,nú,bremañ
693,jetzt::ADV,núna,bremañ
694,heute::ADV,í dag,hiziv
695,morgen::ADV,á morgun,arc'hoazh
696,bald::ADV,brátt,hepdale
697,bald::ADV,bráðum,hepdale
698,dann::ADV,svo,a-c'houde
699,dann::ADV,síðan,a-c'houde
700,gestern::ADV,í gær,dec'h
701,einst::ADV,forðum,gwechall
702,damals::ADV,þá,neuze
703,damals::ADV,á þeim tímum,neuze
704,danach::ADV,á eftir því,goude
705,vorher::ADV,áður,diagent
706,zuerst::ADV,fyrst,da gentañ
707,einmal::ADV,einu sinni,ur wech
708,manchmal::ADV,stundum,a-wechoù
709,oft::ADV,oft,alies
710,immer::ADV,alltaf,atav
711,immer::ADV,alltaf,bepred
712,immer::ADV,sífellt,atav
713,immer::ADV,sífellt,bepred
714,niemals::ADV,aldrei,gwech ebet
715,hier::ADV,hér,amañ
716,hierhin::ADV,hingað,dre amañ
717,von hier::ADV,héðan,alemañ
718,dort::ADV,þar,aze
719,dort::ADV,þar,ahont
720,dort::ADV,þarna,aze
721,dort::ADV,þarna,ahont
722,dorthin::ADV,þangað,di
723,dorthin::ADV,þangað,aze
724,dorthin::ADV,þangað,ahont
725,geradeaus::ADV,beint áfram,war-eeun
726,vorwärts::ADV,áfram,war-raok
727,rückwärts::ADV,aftur á bak,war-lerc'h
728,zurück::ADV,aftur,war-dreñv
729,zurück::ADV,til baka,war-dreñv
730,unten::ADV,niðri,en traoñ
731,unten::ADV,fyrir neðan,en traoñ
732,hinab::ADV,niður,a-izel
733,hinab::ADV,niður eftir,a-izel
734,oben::ADV,uppi,en nec'h
735,hinauf::ADV,upp,e-krec'h
736,hinauf::ADV,upp eftir,e-krec'h
737,überall::ADV,alls staðar,dre-holl
738,nicht::ADV,ekki,ne ... ket
739,ein wenig::ADV,dálítið,un tammig
740,kaum::ADV,varla,a-boan
741,kaum::ADV,tæplega,a-boan
742,sehr::ADV,mjög,-tre
743,sehr::ADV,mjög,-kenañ
744,so::ADV,svo,evel-se
745,so::ADV,þannig,evel-se
746,noch::ADV,enn,c'hoazh
747,noch::ADV,ennþá,c'hoazh
748,nur::ADV,bara,hepken
749,nur::ADV,aðeins,hepken
750,schon::ADV,nú þegar,dija
751,wieder::ADV,aftur,adarre
752,wieder::ADV,að nýju,adarre
753,vergebens::ADV,árangurslaust,
754,vor::PRP,fyrir,dirak
755,hinter::PRP,bak við,a-drek
756,hinter::PRP,bak við,a-dreñv
757,hinter::PRP,aftur fyrir,a-drek
758,hinter::PRP,aftur fyrir,a-dreñv
759,unter::PRP,undir,dindan
760,durch::PRP,gegnum,dre
761,neben::PRP,hjá,e-kichen
762,neben::PRP,við hliðina á,e-kichen
763,zwischen::PRP,milli,etre
764,zwischen::PRP,á milli,etre
765,wegen::PRP,vegna,abalamour da
766,dies::PRN,þetta,hemañ
767,das::PRN,það,se
768,das::PRN,það,hennezh
769,alles::PRN,allt,pep tra
770,ich::PRN,ég,me
771,du::PRN,þú,te
772,er::PRN,hann,eñ
773,wir::PRN,við,ni
774,ihr::PRN,þið,c'hwi
775,sie::PRN,þær,int
776,sie::PRN,þeir,int
777,was::FPRN,hvað,petra
778,wer::FPRN,hver,piv
779,wo::FADV,hvar,pelec'h
780,wohin::FADV,hvert,da belec'h
781,wie::FADV,hvernig,penaos
782,warum::FADV,hvers vegna,perak
783,wieviel::FNUM,hve mikill,pet
784,eins::NUM,einn,unan
785,zwei::NUM,tveir,daou
786,drei::NUM,þrír,tri
787,vier::NUM,fjórir,pevar
788,fünf::NUM,fimm,pemp
789,sechs::NUM,sex,c'hwec'h
790,sieben::NUM,sjö,seizh
791,acht::NUM,átta,eizh
792,neun::NUM,níu,nav
793,zehn::NUM,tíu,dek
794,elf::NUM,ellefu,unnek
795,zwölf::NUM,tólf,daouzek
796,zwanzig::NUM,tuttugu,ugent
797,dreißig::NUM,þrjátíu,tregont
798,vierzig::NUM,fjörutíu,daou-ugent
799,fünfzig::NUM,fimmtíu,hanter-kant
800,sechzig::NUM,sextíu,tri-ugent
801,siebzig::NUM,sjötíu,dek ha tri-ugent
802,achtzig::NUM,áttatíu,pevar-ugent
803,neunzig::NUM,níutíu,dek ha pevar-ugent
804,hundert::NUM,hundrað,kant
805,tausend::NUM,þúsund,mil
