,Concept_ID,fr,et
598,Tag::N,jour,päev
599,Tag::N,journée,päev
600,Morgen::N,matin,hommik
601,Morgen::N,matinée,hommik
602,Mittag::N,midi,lõuna
603,Mittag::N,midi,keskpäev
604,Abend::N,soir,õhtu
605,Abend::N,soirée,õhtu
606,Nacht::N,nuit,öö
607,Woche::N,semaine,nädal
608,Monat::N,mois,kuu
609,Jahr::N,an,aasta
610,Jahr::N,année,aasta
611,Frühling::N,printemps,kevad
612,Sommer::N,été,suvi
613,Herbst::N,automne,sügis
614,Winter::N,hiver,talv
615,Januar::N,janvier,jaanuar
616,Februar::N,février,veebruar
617,März::N,mars,märts
618,April::N,avril,aprill
619,Mai::N,mai,mai
620,Juni::N,juin,juuni
621,Juli::N,juillet,juuli
622,August::N,août,august
623,September::N,septembre,september
624,Oktober::N,octobre,oktoober
625,November::N,novembre,november
626,Dezember::N,décembre,detsember
627,Montag::N,lundi,esmaspäev
628,Dienstag::N,mardi,teisipäev
629,Mittwoch::N,mercredi,kesknädal
630,Donnerstag::N,jeudi,neljapäev
631,Freitag::N,vendredi,reede
632,Samstag::N,samedi,laupäev
633,Sonntag::N,dimanche,pühapäev
634,groß::A,grand,suur
635,klein::A,petit,väike
636,klein::A,petit,pisike
637,lang::A,long,pikk
638,kurz::A,court,lühike
639,breit::A,large,lai
640,schmal::A,étroit,kitsas
641,dicht::A,dense,tihe
642,dick[Gegenstand]::A,épais,jäme
643,dünn::A,mince,õhuke
644,dünn::A,mince,peenike
645,fein::A,fin,peen
646,fein::A,fin,õhuke
647,fein::A,menu,peen
648,fein::A,menu,õhuke
649,fest::A,ferme,püsiv
650,fest::A,ferme,kindel
651,fest::A,solide,püsiv
652,fest::A,solide,kindel
653,flach::A,plat,lame
654,flach::A,plat,tasane
655,glatt::A,poli,sile
656,glatt::A,lisse,sile
657,hart::A,dur,kõva
658,weich::A,mou,pehme
659,rund::A,rond,ümar
660,spitz::A,aigu,torkav
661,spitz::A,pointu,torkav
662,scharf::A,tranchant,terav
663,stumpf::A,mousse,nüri
664,stumpf::A,émoussé,nüri
665,schwer::A,lourd,raske
666,schwer::A,pesant,raske
667,schön::A,beau,kena
668,heiß::A,chaud,kuum
669,heiß::A,chaud,palav
670,heiß::A,très chaud,kuum
671,heiß::A,très chaud,palav
672,warm::A,chaud,soe
673,kalt::A,froid,külm
674,kühl::A,frais,jahe
675,frisch::A,frais,värske
676,feucht::A,humide,niiske
677,nass::A,mouillé,märg
678,trocken::A,sec,kuiv
679,voll::A,plein,täis
680,voll::A,rempli,täis
681,leer::A,vide,tühi
682,offen::A,ouvert,avatud
683,offen::A,ouvert,lahtine
684,geschlossen::A,clos,suletud
685,geschlossen::A,fermé,suletud
686,sauber::A,net,puhas
687,sauber::A,propre,puhas
688,schmutzig::A,sale,räpane
689,schmutzig::A,sale,määrdunud
690,schmutzig::A,crasseux,räpane
691,schmutzig::A,crasseux,määrdunud
692,roh::A,cru,toores
693,roh::A,brut,toores
694,reif::A,mûr,küps
695,lecker::A,délicieux,hõrk
696,lecker::A,délicieux,maitsev
697,lecker::A,appétissant,hõrk
698,lecker::A,appétissant,maitsev
699,süß::A,doux,magus
700,bitter::A,amer,mõru
701,sauer::A,aigre,hapu
702,hell::A,clair,hele
703,dunkel::A,sombre,pime
704,schwarz::A,noir,must
705,weiß::A,blanc,valge
706,rot::A,rouge,punane
707,gelb::A,jaune,kollane
708,blau::A,bleu,sinine
709,grün::A,vert,roheline
710,grau::A,gris,hall
711,bunt::A,multicolore,kirju
712,bunt::A,multicolore,värviline
713,billig::A,bon marché,odav
714,teuer::A,cher,kallis
715,wertvoll::A,précieux,väärtuslik
716,blind::A,aveugle,pime
717,taub::A,sourd,kurt
718,kräftig::A,fort,jõuline
719,kräftig::A,vigoureux,jõuline
720,stark::A,fort,tugev
721,stark::A,puissant,tugev
722,schwach::A,faible,nõrk
723,schwach::A,faible,jõuetu
724,fett::A,gras,rasvane
725,schlank::A,svelte,sale
726,hübsch::A,joli,kena
727,böse::A,mauvais,tige
728,dumm::A,sot,juhm
729,dumm::A,sot,rumal
730,dumm::A,bête,juhm
731,dumm::A,bête,rumal
732,faul::A,fainéant,laisk
733,faul::A,paresseux,laisk
734,fleißig::A,appliqué,virk
735,fleißig::A,appliqué,hoolas
736,geizig::A,avare,ihne
737,klug::A,intelligent,tark
738,klug::A,intelligent,arukas
739,klug::A,intelligent,mõistlik
740,geschickt::A,habile,osav
741,lieb::A,cher,armas
742,lieb::A,gentil,armas
743,lustig::A,gai,lõbus
744,lustig::A,joyeux,lõbus
745,sanft::A,doux,õrn
746,hungrig::A,affamé,näljane
747,krank::A,malade,haige
748,nackt::A,nu,alasti
749,traurig::A,triste,kurb
750,lebendig::A,vivant,elus
751,gut::A,bon,hea
752,schlecht::A,mauvais,halb
753,richtig::A,juste,õige
754,richtig::A,correct,õige
755,schlimm::A,grave,paha
756,schlimm::A,mauvais,paha
757,wahr::A,vrai,tõene
758,wahr::A,véritable,tõene
759,alt::A,vieux,vana
760,neu::A,neuf,uus
761,neu::A,nouveau,uus
762,ehemalig::A,ancien,endine
763,alt[Lebewesen]::A,âgé,vana
764,alt[Lebewesen]::A,vieux,vana
765,jung::A,jeune,noor
766,arm::A,pauvre,vaene
767,reich::A,riche,rikas
768,bekannt::A,connu,teada
769,bekannt::A,connu,tuttav
770,berühmt::A,fameux,tuntud
771,berühmt::A,célèbre,tuntud
772,fremd::A,étranger,võõras
773,verschieden::A,différent,erinev
774,nah::A,lié,lähedane
775,nah::A,proche,lähedane
776,fern::A,éloigné,kauge
777,fern::A,lointain,kauge
778,linker::A,gauche,vasak
779,rechter::A,droit,parem
780,anderer::A,autre,muu
781,anderer::A,autre,teine
782,erster::A,premier,esimene
783,zweiter::A,second,teine
784,zweiter::A,deuxième,teine
785,dritter::A,troisième,kolmas
786,letzter::A,dernier,viimane
787,allein::ADV,seul,üksi
788,auf einmal::ADV,à la fois,korraga
789,auf einmal::ADV,à la fois,ühekorraga
790,zusammen::ADV,ensemble,koos
791,zusammen::ADV,ensemble,üheskoos
792,lange::ADV,longtemps,kaua
793,plötzlich::ADV,tout à coup,äkki
794,plötzlich::ADV,tout à coup,järsku
