,Concept_ID,ba,ta
591,geizig::A,һаран,கஞேசத்தனமான
592,klug::A,аҡыллы,சாதுரியமான
593,geschickt::A,оҫта,திறமையள்ள
594,lieb::A,яғымлы,அன்புக்குரிய
595,lustig::A,күңелле,களிப்புமிக்க
596,sanft::A,йыуаш,சாதுவான
597,hungrig::A,ас,பசியுடன்
598,krank::A,сирле,நோயுற்று
599,krank::A,ауырыу,நோயுற்று
600,nackt::A,яланғас,ஆடையற்ற
601,traurig::A,яманһыу,சோகமான
602,lebendig::A,тере,பிழைப்பு
603,lebendig::A,йәнле,பிழைப்பு
604,gut::A,яҡшы,நல்ல
605,schlecht::A,хөрт,கெட்ட
606,schlecht::A,алама,கெட்ட
607,richtig::A,дөрөҫ,சரியான
608,schlimm::A,хөрт,அருவருப்பான
609,schlimm::A,алама,அருவருப்பான
610,wahr::A,дөрөҫ,உண்மையான
611,alt::A,иҫке,பழைய
612,alt::A,боронғо,பழைய
613,neu::A,яңы,புதிய
614,ehemalig::A,элекке,முன்நாள்
615,alt[Lebewesen]::A,ҡарт,வயதான
616,jung::A,йәш,இளமையான
617,arm::A,фәҡир,ஏழ்மையான
618,reich::A,бай,செல்வம் படைத்த
619,bekannt::A,таныш,பழக்கப்பட்ட
620,berühmt::A,атаҡлы,புகழ்பெற்ற
621,berühmt::A,данлыҡлы,புகழ்பெற்ற
622,fremd::A,ят,அயல் நாட்டு
623,fremd::A,сит,அயல் நாட்டு
624,verschieden::A,төрлө,வித்தியாசமான
625,nah::A,яҡын,பக்கத்தில் உள்ள
626,fern::A,алыҫ,தொலை தூரத்தில்
627,fern::A,йыраҡ,தொலை தூரத்தில்
628,linker::A,һул,மீந்திருக்கும்
629,rechter::A,уң,வலதுபக்கம்
630,anderer::A,бутән,மற்ற
631,erster::A,тәүге,முதனமையான
632,zweiter::A,икенсе,இரண்டாவது
633,dritter::A,өсөнсө,மூன்றாவது
634,letzter::A,һуңғы,கடைசி
635,allein::ADV,бер үҙе,தனியாக
636,allein::ADV,яңғыҙ,தனியாக
637,auf einmal::ADV,бер юлы,தடீரென்று
638,zusammen::ADV,бергә,சேர்ந்து
639,lange::ADV,оҙаҡ,அதிக நோம்
640,plötzlich::ADV,ҡапыл,தடீரென்று
641,sofort::ADV,шунда уҡ,உடனடியாக
642,später::ADV,һуңыраҡ,பிறகு
643,jetzt::ADV,хәҙер,இப்பொழது
644,heute::ADV,бөгөн,இன்று
645,morgen::ADV,иртәгә,நாளைக்கு
646,bald::ADV,тиҙҙән,சீக்கிரம்
647,dann::ADV,һуңынан,அப்பொழுது
