,Concept_ID,nl,kl
82,Rauch::N,rook,pujoq
83,Funke::N,vonk,illoorneq
84,Feuer::N,vuur,inneq
85,Licht::N,licht,qaamaneq
86,Schatten::N,schaduw,tarraq
87,Wetter::N,weer,sila
88,Nebel::N,mist,pujoq
89,Nebel::N,nevel,pujoq
90,Wolke::N,wolk,nuia
91,Regen::N,regen,sialuk
92,Schnee::N,sneeuw,aput
93,Eis::N,ijs,siku
94,Frost::N,vorst,issi
95,Frost::N,vorst,issik
96,Kälte::N,kou,issi
97,Kälte::N,koude,issi
98,Hitze::N,hitte,kianneq
99,Hitze::N,hitte,kiassuseq
100,Raureif::N,rijp,kaneq
101,Regenbogen::N,regenboog,neriusaaq
102,Donner::N,donder,kalleq
103,Strömung::N,stroming,
104,Tropfen::N,druppel,kuseriarneq
105,Schaum::N,schuim,qapuk
106,Schmutz::N,vuil,minguk
107,See::N,meer,taseq
108,Sumpf::N,moeras,maqulluk
109,Moor::N,veen,
110,Wiese::N,wei,masarsuk
111,Wiese::N,weide,masarsuk
112,Wald::N,bos,
113,Hügel::N,heuvel,qattuneq
114,Hügel::N,heuvel,majuariaq
115,Hügel::N,heuvel,majorajaaq
116,Hügel::N,heuvel,qaqqannguaq
117,Anhöhe::N,hoogte,
118,Berg::N,berg,qaqqaq
119,Gipfel::N,top,
120,Höhle::N,hol,qaarusuk
121,Abhang::N,helling,ippik
122,Abhang::N,helling,sivinganeq
123,Abhang::N,helling,sivingajaaq
124,Abhang::N,helling,kussangajaaq
125,Quelle::N,bron,
126,Bach::N,beek,kuunnguaq
127,Fluss::N,stroom,kuuk
128,Ufer::N,wal,sissap sinaa
129,Ufer::N,oever,sissap sinaa
130,Küste::N,kust,sineriak
131,Festland::N,vasteland,
132,Meer::N,zee,imaq
133,Bucht::N,baai,ikeq
134,Bucht::N,baai,kangerluk
135,Bucht::N,baai,kangerliumaneq
136,Bucht::N,inham,ikeq
137,Bucht::N,inham,kangerluk
138,Bucht::N,inham,kangerliumaneq
