,Concept_ID,es,it
674,November::N,noviembre,novembre
675,Dezember::N,diciembre,dicembre
676,Montag::N,lunes,lunedì
677,Dienstag::N,martes,martedì
678,Mittwoch::N,miércoles,mercoledì
679,Donnerstag::N,jueves,giovedì
680,Freitag::N,viernes,venerdì
681,Samstag::N,sábado,sàbato
682,Sonntag::N,domingo,domenica
683,groß::A,grande,grande
684,klein::A,pequeño,pìccolo
685,lang::A,largo,lungo
686,kurz::A,corto,corto
687,breit::A,ancho,largo
688,schmal::A,estrecho,stretto
689,dicht::A,denso,denso
690,dick[Gegenstand]::A,grueso,spesso
691,dünn::A,fino,sottile
692,dünn::A,delgado,sottile
693,fein::A,fino,fine
694,fein::A,fino,delicato
695,fein::A,delicado,fine
696,fein::A,delicado,delicato
697,fest::A,firme,sodo
698,fest::A,firme,fisso
699,fest::A,sólido,sodo
700,fest::A,sólido,fisso
701,flach::A,plano,piano
702,flach::A,plano,piatto
703,glatt::A,liso,liscio
704,hart::A,duro,duro
705,weich::A,muelle,molle
706,rund::A,redondo,rotondo
707,spitz::A,agudo,aguzzo
708,spitz::A,agudo,appuntito
709,spitz::A,apuntado,aguzzo
710,spitz::A,apuntado,appuntito
711,scharf::A,agudo,affilato
712,scharf::A,agudo,tagliente
713,scharf::A,afilado,affilato
714,scharf::A,afilado,tagliente
715,stumpf::A,sin filo,smussato
716,schwer::A,pesado,pesante
717,schön::A,bello,bello
718,schön::A,hermoso,bello
719,heiß::A,caluroso,caldo
720,heiß::A,caluroso,bollente
721,warm::A,cálido,caldo
722,warm::A,caliente,caldo
723,kalt::A,frío,freddo
724,kühl::A,fresco,fresco
725,frisch::A,fresco,fresco
726,feucht::A,húmedo,ùmido
727,nass::A,mojado,bagnato
728,trocken::A,seco,secco
729,voll::A,lleno,pieno
730,leer::A,vacío,vuoto
731,offen::A,abierto,aperto
732,geschlossen::A,cerrado,chiuso
733,sauber::A,limpio,netto
734,sauber::A,limpio,pulito
735,schmutzig::A,sucio,sporco
736,schmutzig::A,sucio,sùdicio
737,roh::A,crudo,crudo
738,reif::A,maduro,maturo
739,lecker::A,rico,ghiotto
740,lecker::A,rico,squisito
741,lecker::A,sabroso,ghiotto
742,lecker::A,sabroso,squisito
743,süß::A,dulce,dolce
744,bitter::A,amargo,amaro
745,sauer::A,agrio,aspro
746,sauer::A,agrio,acerbo
747,hell::A,claro,chiaro
748,dunkel::A,oscuro,buio
749,dunkel::A,oscuro,oscuro
750,schwarz::A,negro,nero
751,weiß::A,blanco,bianco
752,rot::A,rojo,rosso
753,gelb::A,amarillo,giallo
754,blau::A,azul,blu
755,blau::A,azul,azzurro
756,grün::A,verde,verde
757,grau::A,gris,grigio
758,bunt::A,multicolor,variopinto
759,billig::A,barato,a buon prezzo
760,billig::A,barato,a buon mercato
761,teuer::A,caro,caro
762,wertvoll::A,valioso,prezioso
763,wertvoll::A,precioso,prezioso
764,blind::A,ciego,cieco
765,taub::A,sordo,sordo
766,kräftig::A,fuerte,forte
767,kräftig::A,fuerte,robusto
768,stark::A,fuerte,forte
769,stark::A,fuerte,vigoroso
770,stark::A,vigoroso,forte
771,stark::A,vigoroso,vigoroso
772,schwach::A,débil,dèbole
773,fett::A,obeso,grasso
774,schlank::A,esbelto,snello
775,schlank::A,esbelto,slanciato
776,hübsch::A,mono,bello
777,hübsch::A,mono,carino
778,hübsch::A,guapo,bello
779,hübsch::A,guapo,carino
780,böse::A,malo,cattivo
781,dumm::A,tonto,stùpido
782,dumm::A,estúpido,stùpido
783,faul::A,vago,pigro
784,faul::A,perezoso,pigro
785,fleißig::A,aplicado,diligente
786,fleißig::A,diligente,diligente
787,geizig::A,avaro,avaro
788,klug::A,sensato,intelligente
789,klug::A,inteligente,intelligente
790,geschickt::A,hábil,àbile
791,lieb::A,querido,caro
792,lustig::A,alegre,gaio
793,lustig::A,alegre,allegro
794,sanft::A,suave,dolce
795,hungrig::A,hambriento,affamato
796,krank::A,enfermo,malato
797,krank::A,enfermo,infermo
798,nackt::A,desnudo,nudo
799,traurig::A,triste,triste
800,lebendig::A,vivo,vivo
801,lebendig::A,viviente,vivo
802,gut::A,bueno,buono
803,schlecht::A,malo,cattivo
804,richtig::A,justo,giusto
805,richtig::A,correcto,giusto
806,schlimm::A,malo,grave
807,schlimm::A,grave,grave
808,wahr::A,verídico,vero
809,wahr::A,verdadero,vero
810,alt::A,viejo,vecchio
811,neu::A,nuevo,nuovo
812,ehemalig::A,antiguo,vecchio
813,ehemalig::A,antiguo,d'una_volta
814,alt[Lebewesen]::A,viejo,anziano
815,jung::A,joven,giovane
816,arm::A,pobre,pòvero
