,Concept_ID,ab,tt
200,Korn::N,арыц,орлык
201,Heu::N,аҭəа,печән
202,Schale::N,ацəа,кабык
203,Grube::N,ажра,баз
204,Grube::N,ажра,чокыр
205,Grube::N,атыша,баз
206,Grube::N,атыша,чокыр
207,Falle::N,арыҧҟьа,тозак
208,Falle::N,арыҧҟьа,капкын
209,Schlinge::N,аҟəараҟəантə,элмәк
210,Spur::N,ашьҭа,эз
211,Asche::N,ахəа,көл
212,Dreck::N,аҳəынҵəа,пычрак
213,Dreck::N,аҟьамсар,пычрак
214,Eisen::N,аиха,тимер
215,Gold::N,ахьы,алтын
216,Silber::N,аразны,көмеш
217,Kohle::N,арацəа,күмер
218,Glas::N,асаркьа,пыяла
219,Lehm::N,анышəаҧшь,балчык
220,Sand::N,аҧслымӡ,ком
221,Mensch::N,ауаҩы,адәм
222,Mensch::N,ауаҩы,инсан
223,Mann::N,ахаҵа,ир
224,Frau::N,аҧҳəыс,хатын
225,Kind::N,ахəыҷы,бала
226,Junge::N,аҷкəын,малай
