,Concept_ID,fr,sv
519,Mütze::N,bonnet,mössa
520,Mütze::N,casquette,mössa
521,Schuh::N,soulier,sko
522,Schuh::N,chaussure,sko
523,Stiefel::N,botte,stövel
524,Ring::N,bague,ring
525,Band::N,ruban,band
526,Kamm::N,peigne,kam
527,Spiegel::N,glace,spegel
528,Spiegel::N,miroir,spegel
529,Riemen::N,lanière,rem
530,Riemen::N,courroie,rem
531,Schnur::N,corde,snöre
532,Schnur::N,ficelle,snöre
533,Leine::N,laisse,lina
534,Decke::N,couverture,täcke
535,Kissen::N,oreiller,dyna
536,Kissen::N,oreiller,kudde
537,Tuch::N,drap,sjal
538,Tuch::N,fichu,sjal
539,Handtuch::N,serviette,handduk
540,Handtuch::N,essuie-mains,handduk
541,Kraft::N,force,kraft
542,Stärke::N,vigueur,styrka
543,Gesundheit::N,santé,hälsa
544,Krankheit::N,maladie,sjukdom
545,Schmerz::N,douleur,smärta
546,Wunde::N,plaie,sår
547,Wunde::N,blessure,sår
548,Fieber::N,fièvre,feber
549,Arznei::N,remède,medicin
550,Arznei::N,remède,läkemedel
551,Arznei::N,médecine,medicin
552,Arznei::N,médecine,läkemedel
553,Brücke::N,pont,bro
554,Brunnen::N,puits,brunn
555,Weide::N,pâturage,bete
556,Pfad::N,sentier,stig
557,Weg::N,voie,väg
558,Weg::N,chemin,väg
559,Straße::N,route,gata
560,Dorf::N,village,by
561,Stadt::N,cité,stad
562,Stadt::N,ville,stad
563,Brief::N,lettre,brev
564,Buch::N,livre,bok
565,Buchstabe::N,lettre,bokstav
566,Buchstabe::N,caractère,bokstav
567,Zeitung::N,journal,tidning
568,Leben::N,vie,liv
569,Tod::N,mort,död
570,Grab::N,tombe,grav
571,Kirche::N,église,kyrka
572,Sünde::N,péché,synd
573,Gott::N,dieu,gud
574,Arbeiter::N,ouvrier,arbetare
575,Arbeiter::N,travailleur,arbetare
576,Chef::N,chef,chef
577,Chef::N,patron,chef
578,Meister::N,maître,mästare
579,Arzt::N,médecin,läkare
580,Lehrer::N,professeur,lärare
581,Lehrer::N,instituteur,lärare
582,Geld::N,argent,pengar
583,Geschäft::N,affaire,rörelse
584,Geschäft::N,commerce,rörelse
585,Laden::N,magasin,affär
586,Laden::N,boutique,affär
587,Preis::N,prix,pris
588,Ware::N,marchandise,vara
589,Nutzen::N,profit,gagn
590,Nutzen::N,profit,nytta
591,Reichtum::N,richesse,rikedom
592,Welt::N,monde,värld
593,Land::N,pays,land
594,Staat::N,État,stat
595,König::N,roi,kung
596,König::N,roi,konung
597,Macht::N,pouvoir,makt
