,Concept_ID,cv,te
571,lang::A,вӑрӑм,పొడుగాటి
572,kurz::A,кӗске,పొట్టి
573,breit::A,сарлака,వెడల్పైన
574,schmal::A,ансӑр,ఇఱుకైన
575,dicht::A,йӑвӑ,దట్టమైన
576,dick[Gegenstand]::A,хулӑн,దట్టమైన
577,dünn::A,ҫинҫе,పలుచని
578,dünn::A,ҫӳхе,పలుచని
579,fein::A,тарай,నాజాకైన
580,fein::A,вӗлтӗрти,నాజాకైన
581,fest::A,тӗреклӗ,దృడమైవ
582,flach::A,лаптак,చదువైన
583,glatt::A,такӑр,నున్నని
584,hart::A,хытӑ,కఠినమైన
585,weich::A,ҫемҫе,మృదువైన
586,rund::A,ҫавра,గుండ్రని
587,spitz::A,шӗвӗр,మొనగల
588,scharf::A,ҫивӗч,పదనైన
589,stumpf::A,мӑка,వాడిలేని
590,stumpf::A,пуклак,వాడిలేని
591,stumpf::A,тӗрӗнчӗк,వాడిలేని
592,stumpf::A,ӑнкарусӑр,వాడిలేని
593,schwer::A,йывӑр,బరువ్తెన
594,schön::A,илемлӗ,సుందరమైన
595,heiß::A,вӗри,వేడియైన
596,warm::A,ӑшӑ,వెచ్చని
597,kalt::A,сивӗ,చల్లని
598,kühl::A,уҫӑ,చల్లని
599,frisch::A,уҫӑ,తాజాయైన
600,feucht::A,йӗпе,చెమ్మగానున్న
601,nass::A,нӳрӗ,తడిగామన్న
602,trocken::A,типӗ,ఎండిన
603,voll::A,тулли,నిండు
604,leer::A,пушӑ,శూన్యమైన
605,offen::A,уҫӑ,తెఱచియున్న
606,geschlossen::A,хупӑ,మూసిన
607,sauber::A,таса,పరిశుద్ధమైన
608,schmutzig::A,пылчӑклӑ,ముఱికియైన
609,schmutzig::A,вараланчӑк,ముఱికియైన
610,roh::A,чӗрӗ,పచ్చి
611,reif::A,пулнӑ,పండివ
612,reif::A,пиҫӗхнӗ,పండివ
613,reif::A,аталаннӑ,పండివ
614,reif::A,пиҫсе ҫитнӗ,పండివ
615,lecker::A,тутлӑ,రుచి గల
616,lecker::A,техӗмлӗ,రుచి గల
617,süß::A,пылак,తియ్యని
618,bitter::A,йӳҫӗ,చేదైన
619,sauer::A,йӳҫӗ,పుల్లని
620,sauer::A,йӳҫек,పుల్లని
621,sauer::A,кӑвасак,పుల్లని
622,hell::A,ҫутӑ,కాంతిగల
623,dunkel::A,тӗттӗм,చీకటియైన
624,schwarz::A,хура,నల్లని
625,weiß::A,шурӑ,తెలుపు
626,rot::A,хӗрлӗ,ఎఱ్ఱని
627,gelb::A,сарӑ,పసుపు పచ్చ
628,blau::A,кӑвак,నీలవర్ణము
629,grün::A,симӗс,ఆకుపచ్చని
