,Concept_ID,is,bg
458,Geschirr::N,leirtau,съдове
459,Sack::N,sekkur,чувал
460,Tasse::N,bolli,чаша
461,Topf::N,pottur,гърне
462,Topf::N,pottur,тенджера
463,Kessel::N,ketill,котел
464,Essen::N,matur,ядене
465,Nahrung::N,fæða,храна
466,Speise::N,réttur,ястие
467,Speise::N,matarréttur,ястие
468,Fleisch::N,kjöt,месо
469,Getreide::N,korn,зърнено храни
470,Brei::N,grautur,каша
471,Brot::N,brauð,хляб
472,Scheibe::N,sneið,резен
473,Fett::N,fita,мазнина
474,Butter::N,smjör,масло
475,Öl::N,olía,олио
476,Öl::N,olía,оливия
477,Salz::N,salt,сол
478,Suppe::N,súpa,супа
479,Honig::N,hunang,мед
480,Milch::N,mjólk,мляко
481,Tee::N,te,чай
482,Leder::N,skinn,кожа
483,Wolle::N,ull,вълна
484,Stoff::N,dúkur,плат
485,Stoff::N,dúkur,материал
486,Nadel::N,nál,игла
487,Faden::N,þráður,конец
488,Knopf::N,tala,копче
489,Knopf::N,hnappur,копче
490,Knoten::N,hnútur,възел
491,Farbe::N,málning,боя
492,Kleidung::N,búningur,дрехи
493,Kleidung::N,búningur,облекло
494,Kleidung::N,klæðnaður,дрехи
495,Kleidung::N,klæðnaður,облекло
496,Hemd::N,skyrta,риза
497,Kragen::N,kragi,яка
498,Kragen::N,flibbi,яка
499,Ärmel::N,ermi,ръкав
500,Hose::N,buxur,панталони
501,Gürtel::N,belti,пояс
502,Gürtel::N,belti,колан
503,Mütze::N,húfa,каскет
504,Mütze::N,húfa,фуражка
505,Schuh::N,skór,обувка
506,Stiefel::N,stígvél,ботуш
507,Ring::N,hringur,пръстен
508,Band::N,band,лента
509,Band::N,band,връзка
510,Kamm::N,greiða,гребен
511,Spiegel::N,spegill,огледало
512,Riemen::N,ól,каиш
513,Riemen::N,ól,ремък
514,Riemen::N,reim,каиш
515,Riemen::N,reim,ремък
516,Schnur::N,snúra,връв
517,Leine::N,band,връв
518,Leine::N,band,въже
519,Decke::N,teppi,покривка
520,Kissen::N,koddi,възглавница
521,Tuch::N,klútur,сукно
522,Handtuch::N,þurrka,пешкир
523,Handtuch::N,þurrka,кърпа за лице
524,Handtuch::N,handklæði,пешкир
525,Handtuch::N,handklæði,кърпа за лице
526,Kraft::N,afl,мощ
527,Kraft::N,afl,сила
528,Kraft::N,kraftur,мощ
529,Kraft::N,kraftur,сила
