,Concept_ID,ab,de
398,Ring::N,амацəаз,Ring
399,Band::N,алента,Band
400,Kamm::N,ахҳəа,Kamm
401,Spiegel::N,асаркьа,Spiegel
402,Riemen::N,аа,Riemen
403,Schnur::N,ашаха,Schnur
404,Leine::N,аҕура,Leine
405,Decke::N,ахыза,Decke
406,Kissen::N,ахчы,Kissen
407,Tuch::N,акасы,Tuch
408,Handtuch::N,ампахьшьы,Handtuch
409,Kraft::N,амч,Kraft
410,Stärke::N,амч,Stärke
411,Gesundheit::N,агəабзиара,Gesundheit
412,Krankheit::N,ачымазара,Krankheit
413,Schmerz::N,ахьаа,Schmerz
414,Wunde::N,ахəра,Wunde
415,Fieber::N,ашоура,Fieber
416,Arznei::N,ахəшə,Arznei
417,Brücke::N,ацҳа,Brücke
418,Brunnen::N,аҵыџь,Brunnen
419,Weide::N,аҳəырҭа,Weide
420,Pfad::N,амхəасҭа,Pfad
421,Weg::N,амҩа,Weg
422,Straße::N,амҩа,Straße
423,Dorf::N,ақыҭа,Dorf
424,Stadt::N,ақалақь,Stadt
425,Brief::N,ашəҟəы,Brief
426,Buch::N,ашəҟəы,Buch
427,Buchstabe::N,анбан,Buchstabe
428,Zeitung::N,агазеҭ,Zeitung
429,Leben::N,аҧсҭазаара,Leben
430,Tod::N,аҧсра,Tod
431,Grab::N,анышəынҭра,Grab
432,Kirche::N,ауахəама,Kirche
433,Sünde::N,агəнаҳа,Sünde
434,Gott::N,анцəа,Gott
435,Arbeiter::N,аусуҩ,Arbeiter
436,Chef::N,Аиҳабы,Chef
437,Meister::N,аҟаза,Meister
438,Arzt::N,аҳақьым,Arzt
439,Lehrer::N,арҵаҩы,Lehrer
440,Geld::N,аҧара,Geld
441,Laden::N,амагазин,Laden
442,Preis::N,ахə,Preis
443,Ware::N,атауар,Ware
444,Nutzen::N,ақьар,Nutzen
445,Reichtum::N,абеиара,Reichtum
446,Welt::N,адунеи,Welt
447,Land::N,атəыла,Land
448,Staat::N,аҳəынҭқарра,Staat
449,König::N,акрал,König
450,Macht::N,амчра,Macht
451,Grenze::N,аҳəаа,Grenze
452,Krieg::N,аибашьра,Krieg
453,Feind::N,Аҕа,Feind
454,Gewalt::N,ақəымчра,Gewalt
455,Kampf::N,ақəҧара,Kampf
456,Bogen[Waffe]::N,ахыц,Bogen
457,Pfeil::N,ахəымпал,Pfeil
458,Gewehr::N,ашəақь,Gewehr
459,Fehler::N,агха,Fehler
460,Lüge::N,амц,Lüge
461,Schaden::N,аҧырхага,Schaden
462,Unglück::N,арыцҳара,Unglück
463,Schuld::N,ахара,Schuld
464,Alter::N,ақəра,Alter
465,Schluss::N,анҵəамҭа,Schluss
466,Zeit::N,аамта,Zeit
467,Tag::N,амш,Tag
468,Morgen::N,ашара,Morgen
469,Morgen::N,ашьыбжь,Morgen
470,Mittag::N,шьыбжьон,Mittag
471,Abend::N,ахəылҧаз,Abend
472,Abend::N,ахəлбыҽха,Abend
473,Nacht::N,аҵх,Nacht
474,Woche::N,амчыбжь,Woche
475,Frühling::N,ааҕын,Frühling
476,Sommer::N,аҧхын,Sommer
477,Herbst::N,ҭагалан,Herbst
478,Herbst::N,хкаарачан,Herbst
479,Winter::N,аӡын,Winter
480,Januar::N,ианвар,Januar
481,Februar::N,февраль,Februar
482,März::N,март,März
483,April::N,апрель,April
